player_id,player_name,positions,3pt_pass,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,,,,0.0,21.0,
anders-carlson,Anders Carlson,PK/K,,1.0,,,,,,,,,,,,,,,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,DST/K/QB,1.0,5.0,,,2.0,0.0,,,2.0,313.0,45.0,,,,1.0,43.0,2.0
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,,0.0,14.0,2.0,,,
briley-moore,Briley Moore,TE,,,,,,,,,,,,1.0,18.0,3.0,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,,0.0,65.0,3.0,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,,0.0,57.0,3.0,,,
defenders-dst,Defenders DST,DST,,,,1.0,,2.0,,,,,28.0,,,,,,3.0
defenders-k,Defenders K,K/QB,,6.0,47.0,,0.0,,,2.0,4.0,275.0,,,,,0.0,33.0,
deon-cain,Deon Cain,WR,,,,,,,,,,,,1.0,57.0,5.0,,,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,0.0,4.0,1.0,0.0,23.0,
deonte-brown,Deonte Brown,OG,,5.0,,,,,,,,,,,,,,,
dorian-thompson-robinson,Dorian Thompson-Robinson,QB,1.0,,,,2.0,,,,2.0,313.0,,,,,1.0,43.0,
erik-ezukanma,Erik Ezukanma,WR,,,,,,,,,,,,0.0,77.0,2.0,0.0,2.0,
jabre-barber,Jabre Barber,WR,,,,,,,,,,,,0.0,17.0,1.0,,,
javon-antonio,Javon Antonio,WR,,,,,,,,,,,,1.0,13.0,1.0,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,1.0,,,,,0.0,107.0,9.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,,,0.0,,,,4.0,275.0,,,,,0.0,33.0,
jordan-thomas-2,Jordan Thomas,TE,1.0,,,,,,,,,,,1.0,11.0,2.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
matt-mccrane,Matt McCrane,K,,6.0,47.0,,,,,2.0,,,,,,,,,
snoop-conner,Snoop Conner,RB,,,,,,,,,,,,0.0,31.0,4.0,1.0,30.0,
ty-scott,Ty Scott,WR,,,,,,,,,,,,2.0,84.0,3.0,,,
tyrion-davis-price,Tyrion Davis-Price,RB,,,,,,,,,,,,0.0,30.0,3.0,0.0,7.0,
xazavian-valladay,Xazavian Valladay,RB,,,,,,,,,,,,,,,2.0,50.0,
