player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,,,,18.0,3.0,3.0,,30.0,31.0,,,,,,14.0,34.0,,92.0,,,,,,,,,,,
adarius-pickett,Adarius Pickett,DB/LB,,,1.0,4.0,4.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ali-fayad,Ali Fayad,DB/DE/DL,,,1.0,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DB/DT,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,78.0,4.0,4.0,101.0,269.0,,,,,,4.0,,,,2.0,,,3.0,3.0,3.0
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,12.0,3.0,6.0,,3.0,23.0,,,,,,,,,,,,,,,,,,,,
brandon-barlow,Brandon Barlow,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chad-kelly,Chad KELLY,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,6.0,1.0,,1.0,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,,,,,,,,,,,,,,38.0,4.0,,,101.0,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-amos,DaShaun Amos,DB,,,,4.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,20.0,3.0,4.0,,23.0,51.0,,,,,,,,,,,,,,,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,,,,,69.0,4.0,4.0,122.0,254.0,,,,,,11.0,,,,3.0,3.0,47.0,11.0,2.0,2.0
deionte-knight,Deionte Knight,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dejon-brissett,Dejon BRISSETT,WR,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dewayne-hendrix,Dewayne Hendrix,DB/DL,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-davis,Dominique Davis,QB,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0,2.0,,10.0,,,,,,,,,,,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,,,,,,,,,25.0,6.0,9.0,1.0,16.0,72.0,,,,,,,,,,1.0,6.0,,,1.0,,,,,,
henoc-muamba,Henoc Muamba,LB,,,1.0,9.0,9.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,,,,,,,,29.0,1.0,2.0,,4.0,29.0,,,,,,,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,,,1.0,3.0,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,
jabari-ellis,Jabari Ellis,DB/DL/DT,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-wieneke,Jake Wieneke,WR,,,,,,,,,,,,,,,,49.0,5.0,6.0,1.0,53.0,121.0,,,,,,,,,,1.0,6.0,,,1.0,,,,,,
jamal-davis,Jamal Davis,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamal-peters,Jamal Peters,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
javon-leake,Javon LEAKE,RB,,,,,,,,,,,,,,,,,,,,,,50.0,4.0,,,122.0,,,,,,,,,,,,,,,
