player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
adam-turcotte,Adam Turcotte,P,1.0,2.0,,7.0,10.0,,1.0,1.0,,,11.0,1.0,42.0,19.0
antoine-rousseau,Antoine Rousseau,P,,,,27.0,35.0,,,1.0,,11.0,35.0,,-46.0,250.0
charles-guay,Charles Guay,P,,,,2.0,2.0,1.0,,,,,2.0,,41.0,-5.0
chris-chan,Chris Chan,P,,,,,1.0,,,,,,1.0,,,3.0
christophe-tremblay-joncas,Christophe Tremblay-Joncas,P,3.0,1.0,,30.0,23.0,,4.0,2.0,2.0,4.0,26.0,3.0,298.0,241.0
curtis-campbell,Curtis Campbell,P,,1.0,,1.0,,1.0,1.0,,,,,,24.0,
desmond-staples,Desmond Staples,P,1.0,1.0,,11.0,13.0,,,,1.0,,14.0,1.0,33.0,112.0
dylan-lacombe-burgoyne,Dylan Lacombe-Burgoyne,P,1.0,,,35.0,38.0,1.0,,5.0,1.0,,39.0,1.0,157.0,263.0
felix-leonard,Felix Leonard,P,,,,6.0,5.0,,,1.0,,,6.0,1.0,6.0,17.0
geoff-bevan,Geoff Bevan,P,2.0,1.0,,7.0,5.0,,,,,,6.0,,29.0,67.0
griffin-mckee,Griffin McKee,P,,1.0,,11.0,10.0,,1.0,2.0,,,11.0,1.0,126.0,64.0
james-lewis,James Lewis,P,3.0,2.0,,22.0,17.0,,4.0,1.0,1.0,,19.0,2.0,297.0,141.0
jared-morrow,Jared Morrow,P,,,,,,,,,,6.0,,,,
julien-bernat,Julien Bernat,P,,,,6.0,6.0,,,,,,6.0,,48.0,-13.0
keith-mcrae,Keith McRae,P,1.0,1.0,,5.0,5.0,1.0,1.0,2.0,,,6.0,,49.0,71.0
kelvin-huang,Kelvin Huang,P,1.0,,,7.0,4.0,,2.0,,,,4.0,,68.0,6.0
kevin-jay,Kevin Jay,P,,,,6.0,7.0,,1.0,1.0,,,7.0,,37.0,66.0
kevin-quinlan,Kevin Quinlan,P,5.0,1.0,,32.0,26.0,,4.0,2.0,,,28.0,2.0,268.0,201.0
liam-mckeown,Liam McKeown,P,2.0,,,34.0,38.0,,1.0,2.0,2.0,,41.0,3.0,229.0,275.0
luc-comire,Luc Comire,P,4.0,,,25.0,35.0,,1.0,1.0,1.0,,36.0,1.0,71.0,278.0
malik-auger-semmar,Malik Auger-Semmar,P,5.0,2.0,,33.0,28.0,,4.0,2.0,,,30.0,2.0,365.0,145.0
melvyn-brichet,Melvyn Brichet,P,2.0,1.0,,24.0,21.0,,3.0,1.0,1.0,,21.0,,323.0,56.0
mike-mackenzie,Mike Mackenzie,P,4.0,,,18.0,16.0,,4.0,3.0,3.0,,16.0,,203.0,244.0
oren-binnun,Oren Binnun,P,2.0,1.0,1.0,25.0,32.0,1.0,1.0,4.0,,,34.0,2.0,149.0,296.0
owen-robinson,Owen Robinson,P,,,,2.0,1.0,,1.0,,,,1.0,,60.0,15.0
phil-turner,Phil Turner,P,1.0,1.0,,7.0,7.0,,,,,20.0,7.0,,37.0,14.0
phillipe-le-bourdais,Phillipe Le Bourdais,P,,,,1.0,1.0,,,,,,1.0,,-14.0,6.0
raphael-salvas,Raphael Salvas,P,,,,8.0,3.0,,,,,,8.0,4.0,23.0,23.0
rui-carvalho,Rui Carvalho,P,,1.0,,2.0,2.0,,1.0,,,,2.0,,11.0,19.0
ryan-poloz,Ryan Poloz,P,2.0,,,31.0,30.0,,2.0,6.0,1.0,,33.0,3.0,151.0,315.0
simon-walker,Simon Walker,P,1.0,,,17.0,16.0,,1.0,,1.0,,16.0,,112.0,178.0
thomas-lalonde-landry,Thomas Lalonde-Landry,P,,2.0,,11.0,11.0,,1.0,,,,11.0,,106.0,17.0
travis-puckrin,Travis Puckrin,P,,1.0,,1.0,,,,,,,1.0,1.0,3.0,
ty-barbieri,Ty Barbieri,P,3.0,,,16.0,11.0,,4.0,,1.0,,14.0,2.0,317.0,55.0
tyler-gunasekera,Tyler Gunasekera,P,,,,,,,,,,2.0,,,,
