player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kr_avg,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
aakiel-greer,Aakiel Greer,WR,,,,,,,,,,,,,,,,,,,,,,,,,8.0,29.0,0.0,0.0,3.0,74.0,9.0,,,,,,,,,,
akeem-smith,Akeem Smith,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
byron-edwards,BYRON EDWARDS,WR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,11.0,11.0,0.0,0.0,0.0,11.0,1.0,,,,,,,,,0.0,4.0
brandon-lombana,Brandon Lombana,WR,,,,,,,,,,,2.0,8.0,0.0,17.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
darien-townsend,DARIEN TOWNSEND,WR,,,,,,,,,,,,,,,,,,,,,,,,,18.0,29.0,0.0,0.0,3.0,91.0,5.0,,,,,,,,,,
duane-brown,DUANE  BROWN,WR,,,,,,,,,,,,,,,,,,,,,,,,,16.0,29.0,0.0,0.0,2.0,64.0,4.0,,,,,,,,,,
donte-reed,Donte Reed,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
drew-singleton,Drew Singleton,LB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,15.0
isiah-scott,Isiah Scott,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,21.0,22.0,0.0,0.0,0.0,41.0,2.0,,,,,,,,,0.0,1.0
jadarius-byrd,Jadarius Byrd,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
jaiave-magalei,Jaiave Magalei,QB,,639.0,,,,,,,,0.0,,,,,36.0,23.0,25.0,7.0,0.0,111.0,0.0,4.0,159.0,0.0,,,,,,,,,9.0,16.0,0.0,2.0,0.0,1.0,17.0,,
jordon-whitley,Jordon Whitley,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0
joshua-kulka,Joshua Kulka,QB,,500.0,,,,,,,,0.0,,,,,24.0,12.0,29.0,18.0,0.0,120.0,0.0,5.0,211.0,0.0,,,,,,,,,,,,,,,,,
justin-olibrice,Justin Olibrice,WR,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,0.0,4.0,1.0,,1.0,10.0,0.0,8.0,0.0,0.0,10.0,,
lorenzo-jones-jr,Lorenzo Jones Jr.,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
machiah-lee,Machiah Lee,DB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0
michael-badejo,Michael Badejo,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
prince-umanmielen,Prince Umanmielen,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
qaadir-shepard,Qaadir Shepard,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0
quintavius-workman,Quintavius Workman,WR,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,0.0,1.0,1.0,58.0,10.0,,,,,,,,,,
trevon-shorts,TREVON  SHORTS,RB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,20.0,0.0,3.0,0.0,1.0,25.0,0.0,1.0
tyler-stevens,Tyler Stevens,WR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,17.0,0.0,17.0,,,,,,,,,,,14.0,14.0,0.0,0.0,0.0,14.0,1.0,0.0,,,,,,,,0.0,1.0
tyrese-chambers,Tyrese Chambers,WR,,,,,,,,,,,4.0,18.0,0.0,72.0,,,,,,,,,,,15.0,15.0,0.0,0.0,0.0,15.0,1.0,0.0,,,,,,,,,
tywon-buckley,Tywon Buckley,WR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
undra-hendrix,Undra Hendrix,RB,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,0.0,0.0,0.0,0.0,-2.0,1.0,,4.0,6.0,0.0,2.0,0.0,0.0,7.0,,
