player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-hendy,A.J. Hendy,DB/FS,,,,,,,,,,,,6.0
ajene-harris,Ajene Harris,DB/CB,,,1.0,,,,,,,,,7.0
alize-mack,Alize Mack,TE,,,,,,,36.0,5.0,,,,
brahmas-dst,Brahmas DST,DST,,2.0,,,,,,,,,1.0,
brahmas-qb,Brahmas QB,QB,2.0,,,,190.0,,,,,13.0,,
brandon-silvers,Brandon Silvers,QB,2.0,,,2.0,146.0,,,,,1.0,,
brycen-alleyne,Brycen Alleyne,RB,,,,,,,,,,12.0,,
cj-brewer,C.J. Brewer,DL/DT,,,,,,,,,,,1.5,3.0
cedric-byrd,Cedric Byrd,WR,,,,,,,3.0,2.0,,,,
chauncey-rivers,Chauncey Rivers,DL,,,,,,,,,,,1.0,2.0
deandre-johnson-2,Deandre Johnson,LB/OLB,,,,,,,,,,,,2.0
dejoun-lee,Dejoun Lee,RB,,,,,,,-3.0,1.0,,2.0,,
delontae-scott,Delontae Scott,DL/OLB,,,1.0,,,,,,,,1.0,2.0
deon-yelder,Deon Yelder,TE,,,,,,,6.0,1.0,,,,
deontay-burnett,Deontay Burnett,WR,,,,,,1.0,8.0,2.0,,,,
drew-beesley,Drew Beesley,DL/DE,,,,,,,,,,,,4.0
fred-brown,Fred Brown,WR,,,,,,,32.0,3.0,,,,
garrett-owens,Garrett Owens,TE,,,,,,1.0,5.0,1.0,,,,
glen-logan,Glen Logan,DL/DT,,,,,,,,,,,0.5,1.0
jack-coan,Jack Coan,QB,2.0,,,,190.0,,,,,14.0,,
jack-koerner,Jack Koerner,DB/SS,,1.0,,,,,,,,,,5.0
jacques-patrick,Jacques Patrick,RB,,,,,,,38.0,4.0,1.0,96.0,,
jawon-pass,Jawon Pass,QB,,,,,,,,,,-1.0,,
john-brannon,John Brannon,DB,,,,,,,,,,,,1.0
john-daka,John Daka,DL/LB,,,,,,,,,,,,2.0
jon-hilliman,Jon Hilliman,RB,,,,,,,9.0,4.0,,19.0,,
jordan-mosley,Jordan Mosley,DB/SS,,,,,,,,,,,,6.0
jordan-williams,Jordan Williams,DL/OT/MLB/DB/LB/DE,,,,,,,,,,,,6.0
justin-smith,Justin Smith,WR,,,,,,,30.0,2.0,,,,
landen-akers,Landen Akers,WR,,,,,,,62.0,5.0,,,,
luq-barcoo,Luq Barcoo,DB/CB,,,1.0,,,,,,,,,1.0
max-borghi,Max Borghi,RB,,,,,,,49.0,3.0,,10.0,,
raleigh-texada,Raleigh Texada,DB,,,,,,,,,,,,4.0
ranthony-texada,Ranthony Texada,DB,,,,,,,,,,,,3.0
roughnecks-dst,Roughnecks DST,DST,,2.0,,,,,,,,,6.0,
roughnecks-qb,Roughnecks QB,QB,2.0,,,2.0,146.0,,,,,1.0,,
ryan-lewis,Ryan Lewis,DB,,,1.0,,,,,,,,,1.0
tj-vasher,T.J. Vasher,WR,,,,,,,7.0,1.0,,,,
tavante-beckett,Tavante Beckett,LB,,,1.0,,,,,,,,,14.0
tenny-adewusi,Tenny Adewusi,DB,,,1.0,,,,,,,,,3.0
terrell-bonds,Terrell Bonds,DB/CB,,,,,,,,,,,,1.0
travell-harris,Travell Harris,WR,,,,,,,25.0,2.0,,,,
trent-harris,Trent Harris,LB/DE,,,,,,,,,,,1.5,4.0
trevon-mason,Trevon Mason,DL,,1.0,,,,,,,,,,3.0
william-likely,William Likely,DB,,1.0,,,,,,,,,0.5,3.0
