player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,0.0,31.0,3.0,,,
braedon-bowman,Braedon Bowman,TE/WR,,,,,,,,,,0.0,18.0,1.0,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,0.0,21.0,2.0,,,
daewood-davis,Daewood Davis,WR,1.0,,,,,,,,,0.0,0.0,2.0,,,
darius-victor,Darius Victor,RB,,,,,,,,,,0.0,9.0,2.0,2.0,54.0,
diondre-overton,Diondre Overton,WR,,,,,,,,,,0.0,6.0,1.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,0.0,26.0,2.0,,,
jj-molson,J.J. Molson,K,,,64.0,,,1.0,,,,,,,,,
jared-thomas,Jared Thomas,OC/C,,1.0,,,,,,,,,,,,,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,0.0,5.0,1.0,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,0.0,59.0,6.0,,,
josh-love,Josh Love,QB,1.0,,,1.0,,,0.0,152.0,,,,,0.0,4.0,
justin-hall,Justin Hall,WR,,,,,,,,,,0.0,70.0,8.0,0.0,7.0,
keke-chism,Keke Chism,WR,,,,,,,,,,0.0,7.0,1.0,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,0.0,75.0,5.0,1.0,24.0,
mark-thompson,Mark Thompson,RB,,,,,,,,,,0.0,0.0,0.0,0.0,6.0,
matt-coghlin,Matt Coghlin,K,,,75.0,,,,,,,,,,,,
nolan-henderson,Nolan Henderson,QB,,,,0.0,,,0.0,232.0,,,,,0.0,43.0,
reid-sinnett,Reid Sinnett,QB,,,,1.0,,,0.0,16.0,,,,,,,
roughnecks-dst,Roughnecks DST,DST,,,,,1.0,,,,19.0,,,,,,1.0
roughnecks-k,Roughnecks K,K,,,64.0,,,1.0,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,1.0,,,0.0,248.0,,,,,0.0,43.0,
showboats-k,SHOWBOATS K,K,,,75.0,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,1.0,,,1.0,,,0.0,152.0,,,,,0.0,4.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,0.0,30.0,3.0,,,
showboats-dst,Showboats DST,DST,,,,,1.0,,,,12.0,,,,,,2.0
titus-swen,Titus Swen,RB,,,,,,,,,,0.0,15.0,2.0,0.0,0.0,
vinny-papale,Vinny Papale,WR,,,,,,,,,,0.0,28.0,3.0,,,
