player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
d-njoroge,D Njoroge,,67.0,10.0,1.0,2.0,82.0,0.0,,,,,,,1.0
e-wachira,E Wachira,,,,,,,,18.0,1.0,0.0,5.0,3.0,0.0,1.0
k-damane,K Damane,,15.0,2.0,0.0,6.0,10.0,0.0,,,,,,,1.0
kc-phohlo,KC Phohlo,,5.0,0.0,0.0,8.0,0.0,0.0,,,,,,,1.0
km-molapo,KM Molapo,,2.0,0.0,0.0,2.0,0.0,0.0,,,,,,,1.0
l-idambo,L Idambo,,,,,,,,24.0,1.0,0.0,14.0,4.0,0.0,1.0
m-mwangi,M Mwangi,,9.0,1.0,1.0,3.0,11.0,0.0,12.0,2.0,0.0,0.0,2.0,0.0,1.0
ma-nyabela,MA Nyabela,,6.0,0.0,0.0,9.0,2.0,0.0,24.0,0.0,1.0,34.0,0.0,3.0,1.0
ma-tsemane,MA Tsemane,,16.0,0.0,0.0,7.0,2.0,0.0,12.0,0.0,1.0,21.0,0.0,3.0,1.0
mi-khagoitsa,MI Khagoitsa,,,,,,,,24.0,2.0,0.0,7.0,1.0,1.0,1.0
mm-mabathoana,MM Mabathoana,,4.0,1.0,0.0,4.0,4.0,0.0,12.0,0.0,2.0,31.0,0.0,1.0,1.0
nm-mokhachane,NM Mokhachane,,2.0,0.0,0.0,11.0,0.0,0.0,24.0,0.0,0.0,50.0,0.0,6.0,1.0
p-pheko,P Pheko,,8.0,0.0,0.0,5.0,0.0,0.0,,,,,,,1.0
q-abel,Q Abel,,52.0,16.0,0.0,1.0,109.0,1.0,,,,,,,1.0
r-limema,R Limema,,3.0,0.0,1.0,10.0,0.0,0.0,18.0,0.0,2.0,42.0,0.0,1.0,1.0
t-kobeli,T Kobeli,,15.0,1.0,0.0,1.0,7.0,0.0,24.0,0.0,0.0,38.0,1.0,3.0,1.0
tj-mahe,TJ Mahe,,2.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,2.0,16.0,0.0,1.0,1.0
