player_id,player_name,positions,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
alex-scales,Alex Scales,P,2.0,2.0,0.0,3.0,0.0,2.0,1.0
brandon-rush,Brandon Rush,P,1.0,1.0,0.0,0.0,0.0,2.0,0.0
dajuan-summers,Dajuan Summers,P,6.0,4.0,0.0,2.0,1.0,7.0,0.0
garlon-green,Garlon Green,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jason-richardson,Jason Richardson,P,9.0,1.0,0.0,3.0,0.0,8.0,1.0
julian-wright,Julian Wright,P,0.0,0.0,0.0,0.0,1.0,3.0,1.0
justin-dentmon,Justin Dentmon,P,4.0,2.0,0.0,3.0,0.0,2.0,0.0
larry-sanders,Larry Sanders,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mario-chalmers,Mario Chalmers,P,6.0,1.0,0.0,2.0,1.0,3.0,1.0
michael-beasley,Michael Beasley,P,3.0,1.0,0.0,0.0,1.0,5.0,0.0
