player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_fr,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
azeem-victor,Azeem Victor,DL/OLB/LB/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-smith,Brandon Smith,LB/DB,1.0,5.0,,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlie-power,Charlie Power,RB,,,,,,,,,,,,,,,,5.0,1.0,1.0,,5.0,5.0,,,,,,,,,,,,,,,,,,,
chris-casher,Chris Casher,DE/DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-greenwood,Cory Greenwood,LB,1.0,18.0,,5.0,5.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-amos,DaShaun Amos,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derek-wiggan,Derek Wiggan,DL/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eric-rogers,Eric Rogers,WR,,,,,,,,,,,,,,,,11.0,2.0,2.0,,2.0,17.0,,,,,,,,,,,,,,,,,,,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,,,,,,,,14.0,1.0,2.0,,6.0,14.0,,,,,,,,,,,,,,,,,,,
jamar-wall,Jamar Wall,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juwan-brescacin,Juwan Brescacin,WR,,,,,,,,,,,,,,,,,5.0,5.0,2.0,38.0,64.0,,,,,,,,,,,2.0,12.0,2.0,,,,,,
kadeem-carey,Ka\'Deem CAREY,RB,,,,,,,,,,,,,,,,15.0,4.0,5.0,,28.0,30.0,,,,,,12.0,14.0,65.0,,,,,,,,,,,
lorenzo-jerome,Lorenzo Jerome,DB,,,,,,,,,,,,,,,,,,,,,,47.0,1.0,,,47.0,,,,,,,,,,,,,,
markeith-ambles,Markeith Ambles,WR,,,,1.0,1.0,,,,,,,,,,,11.0,3.0,8.0,,7.0,22.0,,,,,,,,,,,,,,,,,,,
mike-rose,Mike Rose,DL/DB/LB/MLB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nate-holley,Nate Holley,S/SAF/LB,,,1.0,3.0,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-arbuckle,Nick ARBUCKLE,QB,,,,,,,,,30.0,20.0,2.0,30.0,4.0,2.0,191.0,,,,,,,,,,,,3.0,3.0,9.0,,,,,,,,,,,
raheem-wilson,Raheem Wilson,DB,1.0,17.0,,2.0,2.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,,,,,12.0,3.0,6.0,,8.0,26.0,,,,,,1.0,3.0,3.0,1.0,,,2.0,,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,,,,,69.0,4.0,4.0,76.0,261.0,,,,,,,5.0,,1.0,1.0,31.0,5.0,2.0,2.0
richard-sindani,Richard Sindani,WR,,,,,,,,,,,,,,,,13.0,1.0,1.0,,13.0,13.0,,,,,,,,,,,,,,,,,,,
rob-maver,Rob Maver,P/K,,,,,,,,,,,,,,,,,,,,,,64.0,10.0,7.0,51.0,410.0,,,,,,,1.0,,,,,,,
robertson-daniel,Robertson Daniel,DB,1.0,14.0,,1.0,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royce-metchie,Royce Metchie,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terry-williams,Terry Williams,WR/RB,,,,1.0,1.0,,,,,,,,,,,,,,,,,23.0,2.0,,,45.0,2.0,4.0,8.0,,,,,,,,,,,
tre-roberson,Tre Roberson,DB,,,,3.0,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
wynton-mcmanis,Wynton McManis,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
