player_id,player_name,positions,assists,games_played,goals,penalty_minutes,points,pp_assists,pp_goals,sh_goals
aaron-woods,Aaron Woods,P,18.0,11.0,14.0,2.0,32.0,,,2.0
adam-charalambides,Adam Charalambides,P,61.0,18.0,37.0,4.0,98.0,16.0,7.0,1.0
adam-jay,Adam Jay,P,7.0,18.0,,14.0,7.0,,,
adam-wiedemann,Adam Wiedemann,P,7.0,18.0,2.0,8.0,9.0,,,
aden-walsh,Aden Walsh,G,,18.0,,,,,,
alex-pace,Alex Pace,P,3.0,18.0,2.0,11.0,5.0,,,
alex-simmons,Alex Simmons,P,58.0,18.0,38.0,4.0,96.0,15.0,5.0,1.0
andrew-borgatti,Andrew Borgatti,P,5.0,18.0,1.0,2.0,6.0,1.0,,
andrew-kew,Andrew Kew,P,51.0,17.0,36.0,,87.0,12.0,8.0,2.0
austin-shanks,Austin Shanks,P,62.0,17.0,23.0,10.0,85.0,10.0,5.0,
ben-mcintosh,Ben McIntosh,P,39.0,18.0,30.0,2.0,69.0,4.0,8.0,1.0
bennett-smith,Bennett Smith,P,1.0,9.0,,6.0,1.0,,,
billy-hostrawser,Billy Hostrawser,P,5.0,17.0,,15.0,5.0,,,
blaze-riorden,Blaze Riorden,P,25.0,16.0,17.0,2.0,42.0,9.0,3.0,2.0
bobby-kidd-iii,Bobby Kidd III,P,4.0,18.0,1.0,20.0,5.0,,,
brad-gillies,Brad Gillies,P,3.0,18.0,1.0,4.0,4.0,,,
brad-kri,Brad Kri,P,8.0,18.0,2.0,25.0,10.0,,,
brad-mcculley,Brad McCulley,P,14.0,16.0,8.0,24.0,22.0,,,1.0
brayden-laity,Brayden Laity,P,5.0,18.0,1.0,4.0,6.0,,,
brendan-bomberry,Brendan Bomberry,P,33.0,18.0,17.0,19.0,50.0,11.0,5.0,
brent-noseworthy,Brent Noseworthy,P,7.0,18.0,1.0,30.0,8.0,,1.0,
brett-craig,Brett Craig,P,12.0,17.0,5.0,11.0,17.0,,,1.0
brett-dobson,Brett Dobson,G,,18.0,,,,,,
brett-mydske,Brett Mydske,P,3.0,18.0,,20.0,3.0,,,
bryan-cole,Bryan Cole,P,17.0,18.0,14.0,22.0,31.0,4.0,4.0,1.0
callum-jones,Callum Jones,P,5.0,17.0,2.0,47.0,7.0,,,
cam-macleod,Cam MacLeod,G,,18.0,,,,,,
cam-wyers,Cam Wyers,P,5.0,18.0,,19.0,5.0,,,
cameron-dunkerley,Cameron Dunkerley,G/OL,,18.0,,,,,,
chad-tutton,Chad Tutton,P,15.0,17.0,4.0,28.0,19.0,1.0,,
challen-rogers,Challen Rogers,P,22.0,12.0,7.0,6.0,29.0,6.0,1.0,
chris-boushy,Chris Boushy,P,28.0,16.0,31.0,30.0,59.0,6.0,10.0,
chris-corbeil,Chris Corbeil,P,1.0,11.0,2.0,4.0,3.0,,,
chris-weier,Chris Weier,P,7.0,18.0,1.0,,8.0,,,
christian-del-bianco,Christian Del Bianco,G,,18.0,,,,,,
christopher-origlieri,Christopher Origlieri,G,,18.0,,,,,,
clark-walter,Clark Walter,P,28.0,18.0,20.0,4.0,48.0,4.0,4.0,2.0
clarke-petterson,Clarke Petterson,P,64.0,18.0,40.0,10.0,104.0,22.0,6.0,
cody-jamieson,Cody Jamieson,P,41.0,18.0,22.0,16.0,63.0,13.0,8.0,
colton-armstrong,Colton Armstrong,P,4.0,18.0,3.0,16.0,7.0,,,
connor-farrell,Connor Farrell,P,2.0,7.0,,2.0,2.0,,,
connor-fields,Connor Fields,P,64.0,18.0,56.0,10.0,120.0,13.0,12.0,1.0
connor-kearnan,Connor Kearnan,P,52.0,18.0,27.0,8.0,79.0,11.0,4.0,1.0
connor-mcclelland,Connor McClelland,P,3.0,18.0,1.0,8.0,4.0,,,
connor-robinson,Connor Robinson,P,37.0,16.0,18.0,11.0,55.0,11.0,3.0,
corey-small,Corey Small,P,36.0,18.0,38.0,4.0,74.0,7.0,14.0,
curtis-dickson,Curtis Dickson,P,37.0,13.0,27.0,2.0,64.0,11.0,4.0,2.0
dan-coates,Dan Coates,,7.0,10.0,,2.0,7.0,,,
dan-craig,Dan Craig,P,32.0,15.0,22.0,6.0,54.0,7.0,1.0,
danny-logan,Danny Logan,P,5.0,10.0,3.0,2.0,8.0,,,
deacan-knott,Deacan Knott,G,,18.0,,,,,,
devlin-shanahan,Devlin Shanahan,G,,11.0,,,,,,
dhane-smith,Dhane Smith,P,101.0,18.0,33.0,8.0,134.0,21.0,8.0,2.0
dillon-ward,Dillon Ward,G,,15.0,,,,,,
drew-hutchison,Drew Hutchison,G,,18.0,,,,,,
dylan-hutchison,Dylan Hutchison,P,6.0,18.0,2.0,8.0,8.0,,,
dylan-mcintosh,Dylan McIntosh,P,1.0,2.0,1.0,,2.0,,,
dylan-robinson,Dylan Robinson,P,4.0,17.0,2.0,12.0,6.0,,,
dylan-watson,Dylan Watson,P,16.0,18.0,19.0,8.0,35.0,5.0,2.0,1.0
eli-gobrecht,Eli Gobrecht,P,2.0,10.0,1.0,4.0,3.0,,,
eli-mclaughlin,Eli McLaughlin,P,50.0,18.0,43.0,2.0,93.0,11.0,10.0,3.0
eli-salama,Eli Salama,P,8.0,13.0,2.0,22.0,10.0,,,1.0
elijah-gash,Elijah Gash,P,,4.0,,13.0,,,,
ethan-oconnor,Ethan O\'Connor,P,3.0,18.0,4.0,16.0,7.0,,,
ethan-ticehurst,Ethan Ticehurst,P,3.0,17.0,1.0,8.0,4.0,,,
evan-messenger,Evan Messenger,P,4.0,18.0,1.0,10.0,5.0,,1.0,
frank-scigliano,Frank Scigliano,G,,18.0,,,,,,
graeme-hossack,Graeme Hossack,P,12.0,18.0,5.0,16.0,17.0,,1.0,1.0
graydon-bradley,Graydon Bradley,P,7.0,18.0,3.0,10.0,10.0,,1.0,
griffin-hall,Griffin Hall,P,2.0,16.0,,4.0,2.0,,,
haiden-dickson,Haiden Dickson,P,19.0,18.0,27.0,7.0,46.0,2.0,2.0,
harrison-matsuoka,Harrison Matsuoka,P,3.0,18.0,4.0,6.0,7.0,,,
holden-garlent,Holden Garlent,P,9.0,15.0,1.0,16.0,10.0,,,
ian-llord,Ian Llord,P,3.0,18.0,,22.0,3.0,,,
ian-mackay,Ian MacKay,P,17.0,18.0,12.0,16.0,29.0,,,2.0
isaiah-davis-allen,Isaiah Davis-Allen,P,4.0,18.0,2.0,4.0,6.0,,,
jack-hannah,Jack Hannah,,47.0,18.0,29.0,4.0,76.0,16.0,5.0,1.0
jackson-suboch,Jackson Suboch,P,2.0,18.0,1.0,48.0,3.0,,,
jacob-dunbar,Jacob Dunbar,P,12.0,7.0,8.0,,20.0,1.0,4.0,
jake-boudreau,Jake Boudreau,P,18.0,18.0,9.0,4.0,27.0,,,1.0
jake-govett,Jake Govett,P,10.0,16.0,4.0,,14.0,,,
jake-saunders,Jake Saunders,P,6.0,13.0,,15.0,6.0,,,
jake-withers,Jake Withers,P,9.0,18.0,7.0,57.0,16.0,1.0,,
jalen-chaster,Jalen Chaster,DT/P,7.0,15.0,1.0,9.0,8.0,,,
james-barclay,James Barclay,P,5.0,17.0,1.0,10.0,6.0,,,
jason-knox,Jason Knox,P,27.0,17.0,23.0,2.0,50.0,11.0,7.0,
jay-thorimbert,Jay Thorimbert,P,1.0,17.0,4.0,4.0,5.0,,,
jeff-cornwall,Jeff Cornwall,P,4.0,18.0,2.0,4.0,6.0,,,
jeff-henrick,Jeff Henrick,P,7.0,17.0,2.0,41.0,9.0,,,
jeff-teat,Jeff Teat,P,73.0,18.0,58.0,6.0,131.0,17.0,8.0,1.0
jeremy-thompson,Jeremy Thompson,P,4.0,18.0,2.0,12.0,6.0,,,
jerrett-smith,Jerrett Smith,P,9.0,18.0,4.0,4.0,13.0,1.0,,
jesse-king,Jesse King,P,73.0,18.0,32.0,16.0,105.0,17.0,8.0,2.0
joe-resetarits,Joe Resetarits,P,58.0,18.0,37.0,,95.0,20.0,9.0,
johnny-pearson,Johnny Pearson,P,4.0,18.0,4.0,26.0,8.0,,,
jonathan-gagliardi,Jonathan Gagliardi,,3.0,17.0,2.0,46.0,5.0,,,
jordan-gilles,Jordan Gilles,P,9.0,17.0,4.0,31.0,13.0,,,1.0
jordan-macintosh,Jordan MacIntosh,P,19.0,18.0,7.0,10.0,26.0,,,1.0
jordan-stouros,Jordan Stouros,P,,1.0,,2.0,,,,
josh-byrne,Josh Byrne,P,82.0,18.0,53.0,14.0,135.0,22.0,6.0,1.0
josh-dawick,Josh Dawick,P,16.0,14.0,13.0,,29.0,1.0,,
josh-jackson,Josh Jackson,DL/P,2.0,10.0,,6.0,2.0,,,
josh-jubenville,Josh Jubenville,P,3.0,9.0,1.0,9.0,4.0,,,
