player_id,player_name,positions,1pt_conversion,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-kessman,Alex Kessman,K,,,,2.0,85.0,,,,,1.0,,,,,,,,,,
alex-mcgough,Alex McGough,QB,,,,,,,1.0,,,,2.0,282.0,,,,,,0.0,32.0,
austin-watkins,Austin Watkins,WR,,,,,,,,,,,,,,,0.0,18.0,1.0,,,
brandon-aubrey,Brandon Aubrey,K/PK,,,,3.0,71.0,,,,,,,,,,,,,,,
cj-marable,CJ Marable,RB,,,,,,,,,1.0,,,,,,0.0,4.0,1.0,1.0,56.0,
chris-blewitt,Chris Blewitt,K,,,,,84.0,,,,,,,,,,,,,,,
chris-pierce-jr,Chris Pierce Jr.,TE,,,,,,,,,,,,,,,0.0,-1.0,1.0,,,
cole-kelley,Cole Kelley,QB,,,,,,,1.0,,,,1.0,154.0,,,,,,0.0,9.0,
daniel-helm,Daniel Helm,TE,,,,,,,,,,,,,,,0.0,9.0,2.0,,,
davion-davis,Davion Davis,WR,,,,,,,,,,,,,,,0.0,114.0,9.0,,,
deneric-prince,Deneric Prince,RB,,,,,,,,,,,,,,,0.0,39.0,4.0,0.0,5.0,
deon-cain,Deon Cain,WR,,,,,,,,,,,,,,,1.0,42.0,5.0,,,
derrick-dillon,Derrick Dillon,WR,,,,,,,,,,,,,,1.0,0.0,38.0,5.0,,,
dresser-winn,Dresser Winn,QB,,1.0,,,,,1.0,,1.0,,1.0,207.0,,,,,,1.0,16.0,
ej-perry,E.J. Perry,QB,,,,,,,0.0,,,,0.0,7.0,,,,,,,,
ezra-gray,Ezra Gray,RB,,,,,,,,,,,,,,,0.0,11.0,2.0,0.0,82.0,
isaiah-washington,Isaiah Washington,WR,,,,,,,,,,,,,,,0.0,18.0,2.0,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,1.0,,,,,,1.0,84.0,4.0,,,
jalan-mcclendon,Jalan McClendon,QB,,1.0,,,,,0.0,,,,1.0,149.0,,,,,,0.0,4.0,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,,,,,,1.0,20.0,3.0,,,
jonathan-adams,Jonathan Adams,WR,,1.0,,,,,,,,,,,,,0.0,25.0,2.0,0.0,14.0,
josh-pederson,Josh Pederson,TE/WR/RB,,,,,,,,,,,,,,,0.0,9.0,1.0,,,
justin-hall,Justin Hall,WR,,1.0,,,,,,,,,,,,,1.0,38.0,6.0,,,
juwan-washington,Juwan Washington,RB,,,,,,,,,,,,,,,0.0,5.0,1.0,0.0,5.0,
kai-locksley-2,Kai Locksley,WR,,,,,,,,,,,,,,,0.0,23.0,1.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,,,0.0,32.0,5.0,,,
kirk-merritt,Kirk Merritt,RB,1.0,,,,,,,,,,,,,,0.0,37.0,1.0,0.0,9.0,
kwame-lassiter-ii,Kwame Lassiter II,WR,,,,,,,,,,,,,,,0.0,29.0,3.0,,,
lamichael-pettway,La\'Michael Pettway,TE,,,,,,,,,,,,,,,0.0,20.0,2.0,,,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,,,,,,0.0,6.0,1.0,0.0,3.0,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,,,,0.0,11.0,2.0,0.0,1.0,
matt-coghlin,Matt Coghlin,K,,,,,69.0,,,,,,,,,,,,,,,
osirus-mitchell,Osirus Mitchell,WR,,,,,,,,,,,,,,,,36.0,3.0,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,34.0,
roughnecks-dst,Roughnecks DST,DST,,,1.0,,,1.0,,1.0,,,,,20.0,,,,,,,1.0
roughnecks-k,Roughnecks K,K,,,,,84.0,,,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,1.0,,,,,0.0,,,,1.0,149.0,,,,,,0.0,4.0,
ryan-mcdaniel,Ryan McDaniel,WR,,,,,,,,,,,,,,,0.0,33.0,4.0,0.0,13.0,
showboats-k,SHOWBOATS K,K,,,,2.0,154.0,,,,,1.0,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,1.0,,,,,2.0,,1.0,,2.0,368.0,,,,,,1.0,25.0,
showboats-dst,Showboats DST,DST,,,,,,2.0,,1.0,,,,,42.0,1.0,,,,,,1.0
stallions-dst,Stallions DST,DST,,,,,,,,1.0,,,,,14.0,,,,,,,2.0
stallions-k,Stallions K,K,,,,3.0,71.0,,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,,,,,1.0,,,,2.0,282.0,,,,,,0.0,32.0,
vinny-papale,Vinny Papale,WR,,,,,,,,,,,,,,,1.0,8.0,2.0,,,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,,,,,0.0,16.0,4.0,0.0,50.0,
