player_id,player_name,positions,blocked_punt,dst_touchdown,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anders-carlson,Anders Carlson,K/PK,,,2.0,,,,1.0,,,,,,,,,
antwane-wells,Antwane Wells,WR,,,,,,,,,,,0.0,22.0,4.0,,,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,DST/K/QB,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,126.0,3.0,,,,0.0,7.0,5.0
columbus-aviators-dst,COLUMBUS AVIATORS DST,DST/K,,0.0,,48.0,,1.0,1.0,,,14.0,,,,,,2.0
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,,,,2.0,,,0.0,150.0,,,,,0.0,29.0,
cam-mcdonald,Cam McDonald,TE,,,,,,,,,,,0.0,4.0,1.0,,,
chris-glaser,Chris Glaser,G,,,,,,,,,,,0.0,21.0,1.0,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,0.0,30.0,2.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,0.0,7.0,1.0,,,
deonte-brown,Deonte Brown,OG,,,2.0,,,,,,,,,,,,,
dorian-thompson-robinson,Dorian Thompson-Robinson,QB,,,,,1.0,,,1.0,126.0,,,,,0.0,7.0,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,0.0,-1.0,1.0,,,
jabre-barber,Jabre Barber,WR,,,,,,,,,,,0.0,0.0,0.0,,,
jalan-mcclendon,Jalan McClendon,QB,,,,,2.0,,,0.0,150.0,,,,,0.0,18.0,
jalen-morton,Jalen Morton,QB,,,,,,,,,,,,,,0.0,11.0,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,0.0,33.0,2.0,,,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,0.0,0.0,0.0,,,
john-lovett,John Lovett,RB,,,,,,,,,,,0.0,21.0,3.0,0.0,7.0,
jonah-dalmas,Jonah Dalmas,K,,,,48.0,,,1.0,,,,,,,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,1.0,28.0,3.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,,0.0,15.0,2.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,0.0,18.0,2.0,,,
snoop-conner,Snoop Conner,RB,,,,,,,,,,,0.0,10.0,1.0,0.0,21.0,
tay-martin,Tay Martin,WR,,,,,,,,,,,0.0,33.0,3.0,,,
toa-taua,Toa Taua,RB,,,,,,,,,,,0.0,19.0,2.0,0.0,14.0,
tyler-davis,Tyler Davis,RB/TE/WR,,,,,,,,,,,,3.0,1.0,,,
tyrion-davis-price,Tyrion Davis-Price,RB,,,,,,,,,,,0.0,0.0,0.0,0.0,21.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,0.0,13.0,3.0,0.0,11.0,
