player_id,player_name,positions,attempts,avg,long,td,yards
aruto-nishimura,Aruto Nishimura,,17.0,12.1,49.0,3.0,205.0
benjamin-dupree,Benjamin Dupree,,53.0,6.3,68.0,1.0,335.0
fumitaka-obana,Fumitaka Obana,,78.0,5.8,52.0,3.0,455.0
hidehito-tokushima,Hidehito Tokushima,,44.0,9.2,60.0,6.0,406.0
hiromi-katō,Hiromi Katō,,20.0,6.7,21.0,,134.0
hiroshi-yamagami,Hiroshi Yamagami,,48.0,5.8,71.0,5.0,280.0
hiroyuki-akatsu,Hiroyuki Akatsu,,17.0,10.3,19.0,1.0,175.0
jeremy-gallon,Jeremy Gallon,,46.0,12.3,47.0,6.0,565.0
john-stanton,John Stanton,,29.0,12.6,64.0,5.0,365.0
katsuya-nagakawa,Katsuya Nagakawa,,20.0,12.6,37.0,1.0,251.0
keisuke-kimura,Keisuke Kimura,,28.0,17.2,80.0,4.0,482.0
keisuke-shizuya,Keisuke Shizuya,,46.0,5.5,59.0,2.0,254.0
kenji-andō,Kenji Andō,,34.0,5.6,43.0,1.0,191.0
kenta-suzuki,Kenta Suzuki,,22.0,11.8,43.0,2.0,260.0
kenta-ōsawa,Kenta Ōsawa,,29.0,9.1,27.0,1.0,263.0
kōhei-tahara,Kōhei Tahara,,74.0,71.6,432.0,32.0,53.0
makoto-hagihara,Makoto Hagihara,,27.0,8.3,66.0,3.0,225.0
masato-kinoshita,Masato Kinoshita,,48.0,3.3,15.0,,160.0
musashi-yoshida,Musashi Yoshida,,28.0,11.5,51.0,,323.0
naoki-maeda,Naoki Maeda,,17.0,18.9,43.0,3.0,321.0
ryō-takagi,Ryō Takagi,,35.0,4.9,37.0,1.0,170.0
ryōma-hagiyama,Ryōma Hagiyama,,25.0,13.7,41.0,3.0,342.0
shingo-maeda,Shingo Maeda,,19.0,10.4,33.0,1.0,197.0
shun-yokota,Shun Yokota,,45.0,5.2,43.0,3.0,236.0
shunichi-iwata,Shunichi Iwata,,45.0,4.0,14.0,3.0,181.0
taiji-koyama,Taiji Koyama,,18.0,8.9,24.0,1.0,161.0
takashi-kurihara,Takashi Kurihara,,27.0,15.4,82.0,4.0,416.0
takashi-sakoda,Takashi Sakoda,,47.0,3.8,15.0,,179.0
takuya-inoue,Takuya Inoue,,16.0,15.7,48.0,,251.0
takuya-yanagisawa,Takuya Yanagisawa,,59.0,5.9,68.0,3.0,349.0
tomokazu-sueyoshi,Tomokazu Sueyoshi,,65.0,6.3,36.0,4.0,407.0
toshiaki-kaneko,Toshiaki Kaneko,,44.0,5.4,37.0,,239.0
yasuhiro-suzuki,Yasuhiro Suzuki,,55.0,6.6,56.0,4.0,362.0
yasushi-nakagawa,Yasushi Nakagawa,,21.0,11.2,36.0,4.0,235.0
yōsuke-nagai,Yōsuke Nagai,,16.0,12.6,41.0,1.0,201.0
yūki-ikei,Yūki Ikei,,16.0,12.5,37.0,2.0,200.0
yūki-masamoto,Yūki Masamoto,,81.0,63.0,496.0,28.0,51.0
yūki-shirakami,Yūki Shirakami,,59.0,6.3,42.0,2.0,373.0
yūta-hayashi,Yūta Hayashi,,45.0,15.5,75.0,5.0,699.0
