player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,misc_td,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_yds,score_fr,score_pr,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
antonio-pipkin,Antonio Pipkin,QB,,,,,,7.0,4.0,22.0,13.0,1.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,69.0,2.0,2.0,55.0,,138.0,,,,,,4.0,,1.0,1.0,43.0,3.0,1.0,
boseko-lokombo,Boseko Lokombo,LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cameron-judge,Cameron Judge,LB,1.0,1.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DL/DB,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
chris-ackie,Chris Ackie,LB/DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christophe-normand,Christophe Normand,FB/RB,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,21.0,15.0,34.0,20.0,2.0,166.0,,,,,,,,,,,,6.0,22.0,48.0,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,,,13.0,1.0,2.0,13.0,13.0,,,,,,,,,,,,,,,,,,,
derrick-moncrief,Derrick Moncrief,LB,1.0,2.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earl-okine,Earl Okine,LB/DL/DB,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
emmanuel-arceneaux,Emmanuel Arceneaux,WR/SB,,,,,,,,,,,,10.0,1.0,1.0,2.0,10.0,,,,,,,,,,,,,,,,,,,
felix-faubert-lussier,Felix Faubert-Lussier,WR,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
gabriel-ferraro,Gabriel Ferraro,K,,,,,,,,,,,,,,,,,63.0,3.0,3.0,58.0,,172.0,,,,,,4.0,,1.0,1.0,28.0,4.0,2.0,1.0
greg-reid,Greg Reid,DB,,2.0,2.0,,,,,,,,,,,,,,45.0,2.0,,,,58.0,,,,,,,,,,,,,
henoc-muamba,Henoc Muamba,LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-wieneke,Jake Wieneke,WR,,,,,,,,,,,,13.0,1.0,1.0,1.0,13.0,,,,,,,,,,,,,,,,,,,
