player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
brandon-lin,Brandon Lin,P,1.0,2.0,7.0,5.0,,2.0,,1.0,,,5.0,,127.0,46.0
bryce-lozinski,Bryce Lozinski,P,,,,,,,,,1.0,,,1.0,,
caden-sigerud,Caden Sigerud,P,,,,,1.0,,,,,,,,,
casey-wu,Casey Wu,P,,,,,,,1.0,,,,,,,
chris-roach,Chris Roach,P,1.0,1.0,2.0,2.0,,1.0,1.0,2.0,9.0,,2.0,,10.0,131.0
clark-wang,Clark Wang,P,1.0,,,,,,1.0,1.0,,,,,,
collin-gall,Collin Gall,P,,,,,,,,,,,,1.0,,
dante-lopez-escarez,Dante Lopez-Escarez,P,,,10.0,11.0,,,1.0,1.0,,,12.0,1.0,44.0,170.0
dominic-jacobs,Dominic Jacobs,P,1.0,2.0,7.0,5.0,1.0,2.0,,,,,5.0,,141.0,30.0
elijah-salmon,Elijah Salmon,P,,,,,,,3.0,,,,,1.0,,
emmet-shipway,Emmet Shipway,P,1.0,,7.0,6.0,,2.0,3.0,1.0,2.0,,7.0,1.0,56.0,59.0
ethan-li,Ethan Li,P,,,,,,1.0,2.0,,,,,1.0,,
garrett-hable,Garrett Hable,P,1.0,,,,,,,,,,,,,
garrett-martin,Garrett Martin,P,8.0,2.0,27.0,23.0,,1.0,3.0,3.0,,1.0,25.0,1.0,332.0,358.0
jack-brown,Jack Brown,P,,1.0,10.0,4.0,,6.0,1.0,,,,5.0,1.0,197.0,16.0
jamie-kauffman,Jamie Kauffman,P,1.0,,5.0,3.0,,2.0,1.0,,,,3.0,,136.0,21.0
jeffrey-silverman,Jeffrey Silverman,P,,1.0,,,,,,,,,,,,
jordan-smith,Jordan Smith,P,,,1.0,2.0,,,,,1.0,,2.0,,7.0,12.0
kamal-raslan,Kamal Raslan,P,,,18.0,17.0,,,1.0,,,,18.0,1.0,88.0,119.0
kenny-lane-iii,Kenny Lane III,P,1.0,,9.0,11.0,,,1.0,,8.0,,13.0,1.0,-15.0,86.0
khalif-el-salaam,Khalif El-Salaam,P,3.0,,28.0,25.0,,4.0,5.0,3.0,1.0,,25.0,,207.0,394.0
kyle-rubin,Kyle Rubin,P,,1.0,,,,,,,,,,,,
louie-bertoncin,Louie Bertoncin,P,,1.0,,,,,,,,,,,,
marc-munoz,Marc Munoz,P,5.0,,40.0,47.0,1.0,,1.0,2.0,,,48.0,1.0,208.0,322.0
max-gibson,Max Gibson,P,2.0,,,,,,,1.0,,,,,,
parker-howard,Parker Howard,P,,1.0,10.0,5.0,1.0,4.0,1.0,,,,5.0,,213.0,30.0
peter-geertz-larson,Peter Geertz-Larson,P,1.0,,8.0,8.0,,1.0,1.0,,,,8.0,,122.0,42.0
reggie-sung,Reggie Sung,P,,2.0,,,,,,,,,,,,
stefan-samu,Stefan Samu,P,,,,,,,4.0,3.0,2.0,,,2.0,,
tarik-akyuz,Tarik Akyuz,P,2.0,2.0,5.0,6.0,,,,1.0,5.0,,6.0,,95.0,64.0
thomas-konogeris,Thomas Konogeris,P,,,2.0,,,2.0,,,,,,,17.0,
tommy-lin,Tommy Lin,P,,,4.0,7.0,,,3.0,,,,7.0,,33.0,69.0
tony-goss,Tony Goss,P,2.0,,34.0,50.0,,,3.0,,,,50.0,,53.0,245.0
travis-dunn,Travis Dunn,P,,,,,,,,2.0,1.0,,,,,
zeppelin-raunig,Zeppelin Raunig,P,2.0,,15.0,10.0,,4.0,2.0,,,,11.0,,229.0,68.0
