player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,match_played
a-dutt,A Dutt,,17.0,0.0,0.0,10.0,11.0,0.0,24.0,0.0,0.0,17.0,3.0,1.0,,,1.0
at-nidamanuru,AT Nidamanuru,,16.0,1.0,0.0,5.0,16.0,0.0,,,,,,,,,1.0
bj-mcmullen,BJ McMullen,,10.0,2.0,0.0,3.0,11.0,0.0,12.0,0.0,1.0,19.0,0.0,0.0,1.0,,1.0
cm-mcbride,CM McBride,,8.0,2.0,0.0,8.0,13.0,0.0,,,,,,,,,1.0
fdw-mccreath,FDW McCreath,,28.0,4.0,0.0,5.0,40.0,1.0,,,,,,,1.0,,1.0
hg-munsey,HG Munsey,,17.0,2.0,0.0,1.0,30.0,3.0,,,,,,,,,1.0
j-jarvis,J Jarvis,,1.0,0.0,1.0,10.0,2.0,0.0,12.0,0.0,0.0,14.0,2.0,1.0,,,1.0
jj-davidson,JJ Davidson,,,,,,,,24.0,0.0,0.0,26.0,1.0,1.0,,,1.0
k-klein,K Klein,,7.0,0.0,0.0,9.0,7.0,0.0,24.0,0.0,0.0,38.0,2.0,0.0,,,1.0
lr-naylor,LR Naylor,,12.0,0.0,0.0,4.0,7.0,0.0,,,,,,,,,1.0
m-levitt,M Levitt,,30.0,2.0,0.0,1.0,36.0,2.0,15.0,0.0,0.0,21.0,0.0,0.0,,,1.0
ma-leask,MA Leask,,10.0,0.0,0.0,6.0,7.0,0.0,24.0,0.0,0.0,19.0,1.0,1.0,2.0,1.0,1.0
mh-cross,MH Cross,,24.0,1.0,0.0,7.0,33.0,1.0,,,,,,,,,1.0
mp-odowd,MP O'Dowd,,3.0,0.0,0.0,2.0,0.0,0.0,,,,,,,2.0,,1.0
mrj-watt,MRJ Watt,,6.0,1.0,0.0,2.0,5.0,0.0,24.0,0.0,0.0,28.0,2.0,1.0,,,1.0
nrj-croes,NRJ Croes,,8.0,1.0,0.0,6.0,10.0,0.0,,,,,,,1.0,,1.0
pa-van-meekeren,PA van Meekeren,,11.0,2.0,1.0,11.0,20.0,1.0,9.0,0.0,0.0,20.0,0.0,0.0,,,1.0
re-van-der-merwe,RE van der Merwe,,2.0,0.0,0.0,8.0,1.0,0.0,24.0,0.0,0.0,33.0,1.0,0.0,,,1.0
sa-edwards,SA Edwards,,5.0,0.0,0.0,4.0,4.0,0.0,,,,,,,1.0,1.0,1.0
sm-sharif,SM Sharif,,4.0,0.0,1.0,9.0,5.0,0.0,13.0,1.0,0.0,13.0,2.0,0.0,1.0,1.0,1.0
saqib-zulfiqar,Saqib Zulfiqar,,8.0,0.0,0.0,7.0,4.0,0.0,,,,,,,1.0,,1.0
zb-lion-cachet,ZB Lion-Cachet,,3.0,1.0,0.0,3.0,5.0,0.0,24.0,0.0,0.0,26.0,2.0,1.0,1.0,,1.0
