player_id,player_name,positions,attempts,avg,long,td,yards
daichi-iwakoshi,Daichi Iwakoshi,,22.0,15.7,66.0,2.0,345.0
daiki-kusafuka,Daiki Kusafuka,,21.0,12.0,44.0,,252.0
daisuke-yamanaka,Daisuke Yamanaka,,54.0,5.4,28.0,1.0,294.0
dereck-akira-williams,Dereck Akira Williams,,20.0,11.3,48.0,2.0,225.0
hideki-kaneda,Hideki Kaneda,,14.0,16.3,59.0,2.0,228.0
hiroki-takao,Hiroki Takao,,14.0,12.7,38.0,1.0,178.0
junjirō-miura,Junjirō Miura,,23.0,6.5,40.0,2.0,150.0
kazuki-kawabata,Kazuki Kawabata,,25.0,11.1,54.0,1.0,303.0
kenichirō-matsushita,Kenichirō Matsushita,,35.0,5.5,31.0,2.0,192.0
kenshi-yoshida,Kenshi Yoshida,,12.0,16.8,37.0,2.0,202.0
kenta-ōsawa,Kenta Ōsawa,,12.0,12.8,27.0,1.0,153.0
kento-hada,Kento Hada,,52.0,4.2,52.0,2.0,216.0
kōhei-anzai,Kōhei Anzai,,15.0,11.9,27.0,,178.0
kōnosuke-hayashi,Kōnosuke Hayashi,,17.0,11.2,32.0,,190.0
kōsuke-morimoto,Kōsuke Morimoto,,50.0,3.6,33.0,2.0,179.0
kōsuke-yoshida,Kōsuke Yoshida,,16.0,15.8,62.0,,253.0
masaki-kawabuchi,Masaki Kawabuchi,,29.0,4.0,45.0,1.0,116.0
naoki-maeda,Naoki Maeda,,13.0,17.0,36.0,2.0,221.0
noriaki-kinoshita,Noriaki Kinoshita,,22.0,16.0,40.0,2.0,352.0
ridge-jones,Ridge Jones,,12.0,14.5,35.0,1.0,174.0
ritsushi-cooke,Ritsushi Cooke,,15.0,11.3,39.0,,170.0
roi-ashida,Roi Ashida,,36.0,3.4,44.0,1.0,121.0
satoru-mori,Satoru Mori,,13.0,8.5,14.0,,111.0
satoshi-ishige,Satoshi Ishige,,17.0,11.1,23.0,2.0,189.0
sei-kyō,Sei Kyō,,12.0,13.4,44.0,1.0,161.0
shingo-maeda,Shingo Maeda,,12.0,16.5,39.0,1.0,198.0
shinpei-wakashima,Shinpei Wakashima,,98.0,3.0,31.0,,295.0
shūzō-kitazume,Shūzō Kitazume,,35.0,4.4,21.0,,154.0
skyler-howard,Skyler Howard,,93.0,58.1,763.0,41.0,54.0
takafumi-suzuki,Takafumi Suzuki,,96.0,55.2,558.0,29.0,53.0
takashi-miyako,Takashi Miyako,,60.0,4.2,21.0,1.0,254.0
takeshi-minamimoto,Takeshi Minamimoto,,14.0,8.9,40.0,2.0,124.0
taku-lee,Taku Lee,RB,54.0,8.3,68.0,2.0,448.0
takutarō-nomura,Takutarō Nomura,,14.0,12.7,23.0,,178.0
takuya-fujimoto,Takuya Fujimoto,,27.0,6.3,20.0,2.0,169.0
tarō-yoshimitsu,Tarō Yoshimitsu,,31.0,8.9,60.0,1.0,276.0
tatsuya-hirosawa,Tatsuya Hirosawa,,56.0,4.6,28.0,,257.0
tyrone-jones,Tyrone Jones,,46.0,3.7,23.0,2.0,168.0
yutaka-tatsumi,Yutaka Tatsumi,,56.0,4.9,27.0,2.0,273.0
yōsuke-nagai,Yōsuke Nagai,,17.0,8.9,19.0,2.0,151.0
yūhei-yagi,Yūhei Yagi,,39.0,11.7,41.0,1.0,458.0
yūki-shirakami,Yūki Shirakami,,57.0,5.1,60.0,2.0,289.0
yūki-tomizawa,Yūki Tomizawa,,59.0,3.3,71.0,1.0,195.0
yūshirō-sakai,Yūshirō Sakai,,67.0,4.7,34.0,2.0,317.0
