player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
adrian-hawkins-jr,Adrian Hawkins Jr.,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.0,0.0,,,,
aj-davis,Aj Davis,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,16.0,0.0,25.0,2.0,,,,,,,,,,,,,
angelo-grose,Angelo Grose,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
bemnet-morgan,Bemnet Morgan,DB,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,28.0,18.0,,36.0,3.0,205.0,,,,,,2.5,3.0,2.0,0.0,5.0,,,,,,,,
brandon-scott,Brandon Scott,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,36.0,1.0,95.0,10.0,2.8,17.0,16.0,2.0,45.0,,,,,,,,
caleb-streat,Caleb Streat,,1.0,1.0,0.0,,,,,,,,,25.0,25.0,25.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,3.0,,,,
carl-robinson-iii,Carl Robinson III,QB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,0.0,,
chris-perry,Chris Perry,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,0.5,0.0,,
cole-lundy,Cole Lundy,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,41.0,2.0,85.0,5.0,,,,,,,,1.0,1.0,,,,
damecio-ewing-jr,Damecio Ewing Jr,,2.0,,,,,,,,,,,,,,,3.0,,,,,,,10.0,14.0,0.0,30.0,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,,,,,,,3.0,,,,,,,13.3,21.0,0.0,40.0,,,,,,,11.0,17.0,0.0,22.0,2.0,3.2,12.0,10.0,0.0,32.0,,,,,,,,
