player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
a-zampa,A Zampa,,,,,,,,24.0,0.0,0.0,29.0,3.0,2.0,,1.0
ad-russell,AD Russell,,15.0,2.0,0.0,7.0,36.0,4.0,6.0,0.0,0.0,16.0,0.0,1.0,,1.0
aj-hosein,AJ Hosein,,,,,,,,24.0,0.0,0.0,31.0,0.0,0.0,,1.0
as-joseph,AS Joseph,,2.0,0.0,1.0,10.0,2.0,0.0,18.0,0.0,0.0,50.0,1.0,4.0,,1.0
ba-king,BA King,,36.0,3.0,0.0,1.0,51.0,4.0,,,,,,,,1.0
bj-dwarshuis,BJ Dwarshuis,,,,,,,,24.0,0.0,0.0,37.0,1.0,0.0,,1.0
c-connolly,C Connolly,,,,,,,,6.0,0.0,0.0,10.0,0.0,0.0,,1.0
c-green,C Green,,32.0,3.0,1.0,4.0,56.0,4.0,,,,,,,3.0,1.0
g-motie,G Motie,,9.0,1.0,1.0,9.0,18.0,2.0,18.0,0.0,0.0,33.0,0.0,0.0,,1.0
gj-maxwell,GJ Maxwell,,10.0,1.0,0.0,1.0,12.0,1.0,12.0,0.0,0.0,15.0,2.0,0.0,1.0,1.0
jo-holder,JO Holder,,3.0,0.0,0.0,8.0,1.0,0.0,18.0,0.0,0.0,28.0,1.0,0.0,,1.0
jp-inglis,JP Inglis,,33.0,7.0,1.0,3.0,78.0,5.0,,,,,,,1.0,1.0
mj-owen,MJ Owen,,,,,,,,6.0,0.0,0.0,9.0,0.0,1.0,,1.0
mp-kuhnemann,MP Kuhnemann,,,,,,,,24.0,0.0,0.0,33.0,0.0,2.0,,1.0
mr-marsh,MR Marsh,,17.0,1.0,0.0,2.0,21.0,2.0,,,,,,,1.0,1.0
nt-ellis,NT Ellis,,,,,,,,24.0,0.0,0.0,34.0,2.0,2.0,1.0,1.0
r-powell,R Powell,,14.0,1.0,0.0,5.0,12.0,0.0,,,,,,,,1.0
rl-chase,RL Chase,,16.0,0.0,0.0,3.0,16.0,1.0,8.0,0.0,0.0,14.0,0.0,0.0,,1.0
sd-hope,SD Hope,,13.0,0.0,0.0,2.0,9.0,0.0,,,,,,,2.0,1.0
se-rutherford,SE Rutherford,,2.0,0.0,0.0,6.0,0.0,0.0,,,,,,,,1.0
so-hetmyer,SO Hetmyer,,10.0,0.0,0.0,4.0,14.0,1.0,,,,,,,,1.0
