player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
ahmad-walker,Ahmad Walker,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,1.0,2.0,0.5,0.0,,
aj-davis,Aj Davis,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,0.0,,
antonio-wimbush,Antonio Wimbush,RB,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,2.0,0.0,2.0,,,,,,,10.0,25.0,1.0,30.0,3.0,3.2,9.0,6.0,0.0,19.0,,,,,,,,
avaun-rucker,Avaun Rucker,QB,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8.0,5.0,,8.0,0.0,24.0,,,,,,13.5,19.0,2.0,0.0,27.0,,,,,,,,
calvin-bundage,Calvin Bundage,DT,0.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,2.0,2.0,2.0,0.0,,
carl-robinson-iii,Carl Robinson III,QB,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,0.0,2.0,1.0
chase-baker,Chase Baker,OL,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,16.5,21.0,0.0,33.0,2.0,9.0,9.0,1.0,0.0,9.0,,,,,,,,
desmond-grace,Desmond Grace,DB,1.0,,1.0,0.0,,,,1.0,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,0.0,,
dylan-karnes,Dylan Karnes,K,0.0,,,,,,,,,,1.0,1.0,,,,,3.0,,,,,,,12.7,19.0,0.0,38.0,,,,,,,,,,,,6.0,20.0,11.0,1.0,66.0,,,1.0,1.0,,,,
erick-young,Erick Young,RB,0.0,1.0,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
giovanni-sanders,Giovanni Sanders,QB,,,,,,,,,,,,,,,,0.0,1.0,,,,,,,7.0,7.0,0.0,7.0,6.0,1.0,,36.0,1.0,36.0,4.0,4.0,0.0,4.0,1.0,-0.8,12.0,12.0,0.0,-10.0,,,,,,,,
isaiah-blackmon,Isaiah Blackmon,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
jack-robinson,Jack Robinson,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
jacobi-brewer,Jacobi Brewer,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,1.0,1.0,0.0,,
jahmal-sam,Jahmal Sam,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jailin-singleton,Jailin Singleton,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.5,2.0,3.0,0.5,0.0,,
jalen-stradford,Jalen Stradford,,0.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
james-ussery,James Ussery,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jamichael-rodgers,Jamichael Rodgers,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.5,0.0,,
jaylen-perkins,Jaylen Perkins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,9.0,0.0,19.0,3.0,6.8,12.0,6.0,2.0,41.0,,,0.0,1.0,,,,
jordan-whitley,Jordan Whitley,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
