player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-hendy,A.J. Hendy,DB/FS,,,1.0,,,,,,,,,7.0
abram-smith,Abram Smith,RB,,,,,,,10.0,2.0,1.0,95.0,,
ajene-harris,Ajene Harris,DB/CB,,,1.0,,,,19.0,1.0,,,,1.0
alex-ellis,Alex Ellis,TE,,,,,,1.0,1.0,1.0,,,,
andre-mintze,Andre Mintze,LB/DE,,,,,,,,,,,,1.0
anthony-hines,Anthony Hines,LB,,,,,,,,,,,,4.0
anthoula-kelly,Anthoula Kelly,DB/CB,,,,,,,,,,,,3.0
ben-putman,Ben Putman,WR,,,,,,,37.0,1.0,,,,
brandon-silvers,Brandon Silvers,QB,1.0,,,,111.0,,,,,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,10.0,1.0,,,,
brycen-alleyne,Brycen Alleyne,RB,,,,,,,,,,10.0,,
cj-brewer,C.J. Brewer,DT/DL,,,,,,,,,,,,2.0
cedric-byrd,Cedric Byrd,WR,,,,,,,37.0,4.0,,,,
chauncey-rivers,Chauncey Rivers,DL,,,,,,,,,,,,2.0
chris-blair,Chris Blair,WR,,,,,,,2.0,1.0,,,,
cole-mcdonald,Cole McDonald,QB,,,,1.0,194.0,,,,1.0,37.0,,
deriq-king,D\'Eriq King,QB,,,,,4.0,,,,,,,
davin-bellamy,Davin Bellamy,DL/DE,,,,,,,,,,,1.0,1.0
dejuan-neal,DeJuan Neal,DB/CB,,,,,,,,,,,,5.0
deandre-johnson-2,Deandre Johnson,LB/OLB,,,,,,,,,,,,1.0
defenders-dst,Defenders DST,DST,,1.0,,,,,,,,,2.0,
defenders-k,Defenders K,QB/K,,,,2.0,249.0,,,,,,,
deontay-burnett,Deontay Burnett,WR,,,,,,1.0,122.0,4.0,,,,
ethan-wolf,Ethan Wolf,TE,,,,,,,21.0,3.0,,,,
francis-bernard,Francis Bernard,LB,,,,,,,,,,,,9.0
glen-logan,Glen Logan,DT/DL,,,,,,,,,,,1.0,4.0
jacub-panasiuk,Jacub Panasiuk,DL,,,1.0,,,,,,,,,
jamal-brooks,Jamal Brooks,LB,,,,,,,,,,,,3.0
jequez-ezzard,Jequez Ezzard,WR,,,,,,,,1.0,,,,
john-brannon,John Brannon,DB,,,2.0,,,,,,,,,1.0
john-daka,John Daka,LB/DL,,,,,,,,,,,,2.0
jordan-mosley,Jordan Mosley,DB/SS,,,,,,,,,,,,5.0
jordan-taamu,Jordan Ta\'amu,QB,,,,2.0,245.0,,,,,-5.0,,
joseph-wallace,Joseph Wallace,CB/DT/DL,,,,,,,,,,,0.5,1.0
josh-hammond,Josh Hammond,WR,,,,,,,65.0,5.0,,,,
justin-smith,Justin Smith,WR,,,,,,,29.0,2.0,,,,
kary-vincent-jr,Kary Vincent Jr.,DB/CB,,,2.0,,,,,,,,,2.0
kentrell-brice,Kentrell Brice,DB/SAF,,,,,,,,,,,,3.0
lucky-jackson,Lucky Jackson,WR,,,,,,1.0,136.0,5.0,,,,
max-borghi,Max Borghi,RB,,,,,,,1.0,1.0,2.0,25.0,,
michael-joseph,Michael Joseph,DB/CB,,,,,,,,,,,,5.0
roughnecks-dst,Roughnecks DST,DST,,,,,,,,,,,1.0,
roughnecks-k,Roughnecks K,QB/K,1.0,,,1.0,305.0,,,,1.0,37.0,,
ryquell-armstead,Ryquell Armstead,RB,,,,,,,4.0,1.0,,26.0,,
santos-ramirez,Santos Ramirez,DB/SAF,,1.0,1.0,,,,,,,,0.5,3.0
tavante-beckett,Tavante Beckett,LB,,,1.0,,,,,,,,,5.0
travell-harris,Travell Harris,WR,,,,,,,60.0,5.0,,,,
will-likely,Will Likely,DB/CB,,,,,,,,,,,,4.0
