player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
bo-bae-kang,Bo Bae Kang,,0.0,1.0,1.0,4.0,14.0
boyoung-lee,Boyoung Lee,,0.0,1.0,1.0,4.0,14.0
derya-ekmekci,Derya Ekmekci,,1.0,1.0,0.0,14.0,4.0
melisa-comert,Melisa Comert,,1.0,1.0,0.0,14.0,4.0
seydanur-morkoc,Seydanur MORKOC,,1.0,1.0,0.0,14.0,4.0
suheda-karacali,Suheda Karacali,,1.0,1.0,0.0,14.0,4.0
yealynn-park,Yealynn Park,,0.0,1.0,1.0,4.0,14.0
you-sun-lee,You Sun Lee,,0.0,1.0,1.0,4.0,14.0
yujeong-shim,Yujeong Shim,,0.0,1.0,1.0,4.0,14.0
zeynep-genc,Zeynep GENC,,1.0,1.0,0.0,14.0,4.0
