player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-brown,A.J. Brown,WR,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,,,,
albert-curran-iv,Albert Curran IV,DB,0.0,1.0,0.0,,,,19.0,19.0,19.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
anthony-lamar-dixon,Anthony Lamar Dixon,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,2.0,2.0,1.0,0.0,,
arnell-anderson,Arnell Anderson,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,0.0,,
ashton-henry,Ashton Henry,K,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,6.0,,,,
axel-perez,Axel Perez,K,,,,1.0,0.0,0.0,,,,,,3.0,38.3,0.0,0.0,230.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
bryce-holliday,Bryce Holliday,QB,,,,,,,,,,0.0,,,,,,,,,,,,15.0,11.0,,13.0,1.0,96.0,,,,,,6.2,12.0,6.0,2.0,37.0,,,,,,,,
chris-elmore,Chris  Elmore,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
damian-francis,Damian Francis,ATH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,2.0,0.0,,
damion-barber,Damion Barber,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,7.0,8.0,,,,
davis-black,Davis Black,QB,0.0,,,,,,,,,1.0,,,,,,,,,,,,6.0,4.0,,30.0,2.0,55.0,,,,,,-0.5,1.0,2.0,0.0,-1.0,,,1.0,1.0,,,,
dontrell-lucky-morrison,"Dontrell ""Lucky"" Morrison",DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
drake-johnson,Drake Johnson,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
drew-crooks,Drew Crooks,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,30.0,1.0,53.0,3.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,
ed-smith-jr,Ed Smith Jr.,WR,,,,,,,,,,,1.0,,,,,,,19.0,19.0,0.0,19.0,,,,,,,15.0,18.0,2.0,30.0,2.0,1.0,4.0,2.0,0.0,2.0,,,,,,,,
jahoiyakim-afoa,Jahoiyakim Afoa,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,22.0,0.0,30.0,2.0,,,,,,,,0.0,1.0,,,,
john-westor,John Westor,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,0.0,,
john-williams,John Williams,WR,4.0,1.0,0.0,,,,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,,,,
kenttwon-brown,Kenttwon Brown,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,13.0,0.0,35.0,4.0,,,,,,,,,,,,,
marcus-gray,MARCUS GRAY,G,,,,2.0,0.0,0.0,,,,,,6.0,34.1,0.0,0.0,239.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0
maleek-jones,Maleek Jones,WR,0.0,,,,,,,,,2.0,,,,,,,,,,,,25.0,14.0,,22.0,3.0,140.0,,,,,,5.0,20.0,10.0,1.0,50.0,,,1.0,1.0,1.0,0.0,,
myran-mounds,Myran Mounds,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,19.0,1.0,73.0,9.0,,,,,,,,,,,,,
noa-purcell,Noa Purcell,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,6.0,1.0,11.0,2.0,4.7,17.0,21.0,1.0,99.0,,,,,,,,
prince-shonola,Prince Shonola,WR,,,,,,,,,,,2.0,,,,,,,9.0,15.0,0.0,18.0,,,,,,,,,,,,-3.0,0.0,1.0,0.0,-3.0,,,,,,,,
raneiria-dillworth,Raneiria Dillworth,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
robi-stuart,Robi Stuart,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,13.0,1.0,52.0,6.0,,,,,,,,,,,,,
shay-roberts,Shay Roberts,OL,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,10.0,,,,
steven-parker,Steven Parker,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,2.0,0.0,,
talon-gamble,Talon Gamble,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
terrence-jackson,Terrence Jackson,DB,1.0,1.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,,
tremon-brewer,Tremon Brewer,ATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,7.0,1.0,3.6,7.0,5.0,2.0,18.0,,,,,,,,
victor-leventritt,Victor Leventritt,K,,,,,,,,,,0.0,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
zach-hannibel,Zach Hannibel,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
zachary-schleuger,Zachary Schleuger,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
