player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
charles-hall,Charles Hall,WR,,,,,,54.0,4.0,,
demarius-washington,Demarius Washington,WR,,,,,4.0,288.0,20.0,,
edward-smith,Edward Smith,WR,,,,,,33.0,2.0,,
jalen-morton,Jalen Morton,QB,2.0,2.0,4.0,438.0,,,,0.0,46.0
javin-kilgo,Javin Kilgo,QB,0.0,,2.0,114.0,,,,,
logan-wright,Logan Wright,RB,0.0,,0.0,10.0,0.0,20.0,2.0,0.0,16.0
salina-qb,SALINA QB,QB,,,1.0,57.0,,,,,
sw-kansas-qb,SW KANSAS QB,QB,,2.0,2.0,219.0,,,,,23.0
shiloh-flanagan,Shiloh Flanagan,WR,,,,,0.0,32.0,6.0,,
tracy-brooks,Tracy Brooks,RB,0.0,,0.0,0.0,0.0,86.0,10.0,2.0,6.0
