player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
austin-reed,Austin Reed,QB,,,,0.0,,1.0,,3.0,162.0,,,,,0.0,14.0,
baylor-cupp,Baylor Cupp,TE,,,,,,,,,,,0.0,0.0,0.0,,,
blake-jackson,Blake Jackson,WR,,,,,,1.0,,,,,0.0,4.0,1.0,,,
colton-theaker,Colton Theaker,K,2.0,,,,,,,,,,,,,,,
dallas-renegades-dst,DALLAS RENEGADES DST,DST/K,2.0,,1.0,,2.0,,,,,16.0,,,,,,7.0
dallas-renegades-qb,DALLAS RENEGADES QB,QB,,,,0.0,,1.0,,3.0,162.0,,,,,0.0,14.0,
drake-stoops,Drake Stoops,WR,,,,,,,,,,,0.0,25.0,2.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,2.0,38.0,3.0,,,
frank-darby,Frank Darby,WR,,,,,,,,,,,0.0,50.0,3.0,,,
gary-jennings,Gary Jennings,WR,,,,,,,,,,,0.0,9.0,1.0,,,
greg-ward,Greg Ward,WR,,,,,,,,,,,0.0,36.0,2.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,0.0,73.0,3.0,,,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,0.0,7.0,1.0,,,
james-bostic,James Bostic,TE/WR,,,,,,,,,,,1.0,35.0,3.0,,,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,,0.0,6.0,1.0,0.0,16.0,
keegan-jones,Keegan Jones,RB,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,
kevon-latulas,Kevon Latulas,RB,,,,,,,,,,,,,,0.0,2.0,
kylin-james,Kylin James,RB,,,,,,,,,,,0.0,9.0,1.0,0.0,40.0,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,0.0,6.0,2.0,0.0,30.0,
luis-perez,Luis Perez,QB,,,,2.0,,,,1.0,272.0,,,,,,,
ramiz-ahmed,Ramiz Ahmed,K,1.0,123.0,,,,,1.0,,,,,,,,,
st-louis-battlehawks-dst,ST. LOUIS BATTLEHAWKS DST,DST/K,1.0,123.0,1.0,,0.0,,1.0,,,20.0,,,,,,4.0
st-louis-battlehawks-qb,ST. LOUIS BATTLEHAWKS QB,QB,,,,2.0,,,,1.0,272.0,,,,,0.0,0.0,
seth-green,Seth Green,TE,,,,,,,,,,,0.0,23.0,2.0,,,
steven-mcbride,Steven McBride,WR,,,,,,,,,,,0.0,79.0,4.0,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,1.0,34.0,3.0,0.0,23.0,
