player_id,player_name,positions,3pt_pass,conversions,dst_touchdown,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aidan-robbins,Aidan Robbins,RB,,,,,,,,,,,,,0.0,12.0,
alize-mack,Alize Mack,TE,,,,,,,,,,0.0,0.0,0.0,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,0.0,0.0,0.0,0.0,40.0,
brahmas-dst,Brahmas DST,DST,,,,,,1.0,,,21.0,,,,,,1.0
brahmas-k,Brahmas K,K,,,,33.0,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,,2.0,,0.0,64.0,,,,,0.0,24.0,
chris-blewitt,Chris Blewitt,K,,,,67.0,,,,,,,,,,,
dee-anderson,Dee Anderson,WR,,1.0,,,,,,,,1.0,93.0,4.0,,,
emmanuel-butler,Emmanuel Butler,WR,1.0,,,,,,,,,0.0,10.0,1.0,,,
georquarius-spivey,Geor\'Quarius Spivey,TE,,,,,,,,,,0.0,6.0,1.0,,,
jacob-harris,Jacob Harris,WR,,,,,,,,,,0.0,24.0,1.0,,,
jaden-shirden,Jaden Shirden,RB,,,,,,,,,,0.0,8.0,1.0,0.0,2.0,
jalan-mcclendon,Jalan McClendon,QB,1.0,,,,1.0,,0.0,171.0,,,,,0.0,17.0,
jarrett-guarantano,Jarrett Guarantano,QB,,,,,1.0,,0.0,29.0,,,,,0.0,24.0,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,,0.0,14.0,3.0,0.0,1.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,0.0,21.0,4.0,,,
josh-pederson,Josh Pederson,RB/WR/TE,,,,,,,,,,0.0,27.0,3.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,0.0,68.0,9.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,0.0,18.0,3.0,,,
kellen-mond,Kellen Mond,QB,,,,,1.0,,0.0,35.0,,,,,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,0.0,8.0,1.0,1.0,24.0,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,0.0,8.0,1.0,0.0,12.0,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,,0.0,13.0,
marcus-simms,Marcus Simms,WR,,,,,,,,,,0.0,7.0,1.0,,,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,0.0,-1.0,1.0,,,
mathew-sexton,Mathew Sexton,WR,,,,,,,,,,0.0,0.0,0.0,,,
roughnecks-dst,Roughnecks DST,DST,,,1.0,,,2.0,,,3.0,,,,,,4.0
roughnecks-k,Roughnecks K,K,,,,67.0,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,1.0,,,,1.0,,0.0,171.0,,,,,0.0,17.0,
steven-stilianos,Steven Stilianos,TE,,,,,,,,,,0.0,6.0,1.0,,,
tj-vasher,T.J. Vasher,WR,,,,,,,,,,0.0,14.0,1.0,,,
tristan-vizcaino,Tristan Vizcaino,K,,,,33.0,,,,,,,,,,,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,0.0,5.0,1.0,1.0,40.0,
