player_id,player_name,positions,dst_touchdown,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,,0.0,33.0,3.0,,,
antwane-wells,Antwane Wells,WR,,,,,,,,,,1.0,43.0,4.0,,,
austin-reed,Austin Reed,QB,,,,0.0,,,2.0,147.0,,,,,0.0,3.0,
baylor-cupp,Baylor Cupp,TE,,,,,,,,,,0.0,17.0,1.0,,,
columbus-aviators-dst,COLUMBUS AVIATORS DST,K/DST,,2.0,53.0,,0.0,1.0,,,22.0,,,,,,2.0
columbus-aviators-qb,COLUMBUS AVIATORS QB,QB,,,,2.0,,,2.0,230.0,,,,,0.0,28.0,
cam-mcdonald,Cam McDonald,TE,,,,,,,,,,0.0,0.0,0.0,,,
colton-theaker,Colton Theaker,K,,4.0,,,,,,,,,,,,,
curtis-hodges,Curtis Hodges,TE,,,,,,,,,,0.0,20.0,2.0,,,
dallas-renegades-dst,DALLAS RENEGADES DST,K/DST,1.0,4.0,,,2.0,,,,23.0,,,,,,3.0
dallas-renegades-qb,DALLAS RENEGADES QB,QB,,,,0.0,,,2.0,147.0,,,,,0.0,3.0,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,0.0,20.0,2.0,1.0,62.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,1.0,15.0,3.0,,,
drake-stoops,Drake Stoops,WR,,,,,,,,,,0.0,1.0,1.0,,,
ellis-merriweather,Ellis Merriweather,RB,,,,,,,,,,0.0,6.0,1.0,0.0,18.0,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,1.0,22.0,2.0,,,
greg-ward,Greg Ward,WR,,,,,,,,,,0.0,5.0,1.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,0.0,8.0,1.0,,,
jalan-mcclendon,Jalan McClendon,QB,,,,2.0,,,2.0,230.0,,,,,0.0,24.0,
jalen-morton,Jalen Morton,QB,,,,,,,,,,,,,0.0,4.0,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,0.0,8.0,2.0,0.0,7.0,
john-lovett,John Lovett,RB,,,,,,,,,,1.0,23.0,3.0,1.0,24.0,
keke-chism,Keke Chism,WR,,,,,,,,,,0.0,38.0,4.0,,,
tay-martin,Tay Martin,WR,,,,,,,,,,0.0,49.0,5.0,,,
toa-taua,Toa Taua,RB,,,,,,,,,,0.0,8.0,2.0,0.0,13.0,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,0.0,41.0,5.0,,,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,0.0,20.0,2.0,0.0,2.0,
