player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,misc_fum,misc_lost,recv_lg,recv_rec,recv_tar,recv_yds
anthony-johnson,Anthony Johnson,,1.0,4.0,4.0,13.0,,,,,,
dasean-downey,Da\'Sean Downey,DB/LB,2.0,3.0,3.0,20.0,,,,,,
josh-huff,Josh Huff,WR,,,,,1.0,1.0,64.0,2.0,4.0,84.0
