player_id,player_name,positions,assist_tackles,completions,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,pass_attempts,passing_tds,passing_yards,pr_fc,punt_avg,punt_long,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,targets,xp_att_game
aj-tarpley,A.J. Tarpley,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,6.0,,
alex-barrett,Alex Barrett,DE/DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
ben-johnson,Ben Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,,,,2.0,
bishop-sankey,Bishop Sankey,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,1.0,12.0,0.0,54.0,,1.0,
brian-brown,Brian Brown,WR,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,0.0,26.0,2.0,,,,,4.0,
carl-bradford,Carl Bradford,DB/LB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
damontre-moore,Damontre Moore,DB/DL,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
deion-holliman,Deion Holliman,WR,,,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,1.0,15.0,1.0,1.0,0.0,9.0,,1.0,
demetrius-wright,Demetrius Wright,DB,1.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
dexter-mcdougle,Dexter McDougle,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
donny-hageman,Donny Hageman,,,,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
dylan-wynn,Dylan Wynn,DB/DT,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
edmond-robinson,Edmond Robinson,DB/LB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,
eric-pinkins,Eric Pinkins,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.0,,
erick-dargan,Erick Dargan,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,4.0,,
francis-owusu,Francis Owusu,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,30.0,2.0,,,,,5.0,
frank-ginda,Frank Ginda,DB/OLB/LB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.0,,
freddie-martino,Freddie Martino,WR,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,24.0,1.0,,,,1.0,3.0,
gavin-escobar,Gavin Escobar,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,1.0,,,,,6.0,
gelen-robinson,Gelen Robinson,DB/DL,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.0,,
gerald-christian,Gerald Christian,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0,2.0,,,,,4.0,
jaquan-gardner,Ja'Quan Gardner,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,0.0,2.0,,1.0,
jeff-locke,Jeff Locke,,,,,,,,,,,,,,,,,,,,,,,,,46.3,56.0,0.0,139.0,3.0,0.0,3.0,,,,,,,,,
jhurell-pressley,Jhurell Pressley,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0,1.0,15.0,0.0,64.0,,1.0,
john-lotulelei,John Lotulelei,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
john-wolford,John Wolford,QB,,15.0,,,,,,,,,,,,,,,,1.0,,19.0,2.0,212.0,,,,,,,,,,,,5.0,1.0,44.0,,,
jordan-martin,Jordan Martin,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
