player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-tatum,Alex Tatum,P,,,9.0,7.0,,1.0,,,,8.0,1.0,72.0,34.0
ben-levinsky,Ben Levinsky,P,1.0,,2.0,2.0,,,,,,2.0,,7.0,6.0
bryce-lozinski,Bryce Lozinski,P,1.0,,15.0,20.0,,,2.0,1.0,,21.0,1.0,56.0,117.0
casey-wu,Casey Wu,P,,,18.0,15.0,,1.0,,,,17.0,2.0,155.0,27.0
clark-wang,Clark Wang,P,,,1.0,1.0,,,,,,2.0,1.0,4.0,7.0
cody-spicer,Cody Spicer,P,2.0,1.0,19.0,22.0,,,1.0,1.0,,23.0,1.0,64.0,70.0
connor-olson,Connor Olson,P,1.0,,4.0,5.0,,,,,,7.0,,2.0,32.0
conor-tabor,Conor Tabor,P,2.0,1.0,8.0,6.0,,,2.0,1.0,,8.0,,42.0,22.0
elliot-warner,Elliot Warner,P,3.0,1.0,29.0,36.0,,1.0,,,,38.0,2.0,45.0,275.0
felix-pronove,Felix Pronove,P,1.0,1.0,4.0,3.0,1.0,,,,,4.0,,49.0,-3.0
garrett-hable,Garrett Hable,P,,,,,1.0,,,,,,,,
jan-szmanda,Jan Szmanda,P,,,2.0,2.0,,1.0,,,,2.0,,6.0,-1.0
jay-froude,Jay Froude,P,,,14.0,11.0,1.0,2.0,2.0,1.0,,13.0,,238.0,37.0
jeffrey-silverman,Jeffrey Silverman,P,,,2.0,1.0,,,,,,1.0,,3.0,5.0
jimmy-mcguinness,Jimmy McGuinness,P,,,1.0,1.0,,,,,,1.0,,3.0,-1.0
joe-anderson,Joe Anderson,P/WR,,,6.0,5.0,,,1.0,,,5.0,1.0,3.0,7.0
jonathan-nethercutt,Jonathan Nethercutt,P,7.0,,41.0,53.0,,,,3.0,,60.0,6.0,90.0,588.0
jordan-queckboerner,Jordan Queckboerner,P,,2.0,22.0,18.0,1.0,3.0,1.0,1.0,,22.0,4.0,244.0,76.0
justin-abel,Justin Abel,P,1.0,,10.0,10.0,,,1.0,,,10.0,2.0,33.0,34.0
kai-marshall,Kai Marshall,P,1.0,1.0,14.0,11.0,1.0,2.0,1.0,,,12.0,,164.0,27.0
kyle-rubin,Kyle Rubin,P,,,15.0,13.0,,1.0,1.0,,,15.0,2.0,89.0,100.0
mathieu-agee,Mathieu Agee,P,,,7.0,6.0,,1.0,3.0,,,7.0,1.0,156.0,53.0
matt-jackson,Matt Jackson,P,1.0,2.0,14.0,15.0,,1.0,,,,15.0,,21.0,50.0
maxwell-hume,Maxwell Hume,P,2.0,,14.0,11.0,,2.0,,1.0,,12.0,,167.0,142.0
michael-tran,Michael Tran,P,2.0,,36.0,42.0,,,3.0,1.0,,45.0,2.0,28.0,306.0
nicholas-snuszka,Nicholas Snuszka,P,,2.0,1.0,1.0,,,,,,1.0,,11.0,13.0
noah-coolman,Noah Coolman,P,,2.0,8.0,6.0,,,,,,7.0,,94.0,53.0
paul-lally,Paul Lally,P,,1.0,5.0,7.0,,,,,,7.0,,-14.0,33.0
quinn-finer,Quinn Finer,P,,1.0,26.0,21.0,,2.0,2.0,1.0,,25.0,3.0,223.0,151.0
reggie-sung,Reggie Sung,P,,2.0,1.0,1.0,,,,,,1.0,,7.0,4.0
saeed-semrin,Saeed Semrin,P,,2.0,2.0,2.0,,2.0,2.0,,11.0,2.0,,25.0,16.0
sam-goldstein,Sam Goldstein,P,4.0,,21.0,28.0,,,1.0,1.0,,29.0,1.0,17.0,213.0
seth-faris,Seth Faris,P,,,5.0,4.0,,1.0,,,9.0,4.0,1.0,54.0,-10.0
stefan-samu,Stefan Samu,P,2.0,,11.0,9.0,1.0,2.0,3.0,2.0,3.0,10.0,1.0,148.0,129.0
thomas-brewster,Thomas Brewster,P,3.0,,7.0,4.0,1.0,2.0,1.0,,,6.0,,85.0,34.0
thomas-konogeris,Thomas Konogeris,P,,,1.0,1.0,,,,,,1.0,,8.0,6.0
travis-dunn,Travis Dunn,P,4.0,,46.0,40.0,,2.0,3.0,1.0,,44.0,3.0,413.0,169.0
trevor-purdy,Trevor Purdy,P,1.0,1.0,5.0,3.0,,,1.0,,1.0,5.0,2.0,93.0,8.0
tyler-nguyen,Tyler Nguyen,P,,,1.0,1.0,,3.0,1.0,,,1.0,,9.0,19.0
