player_id,player_name,positions,1pt_conversion,blocked_punt,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-richardson,AJ Richardson,WR,,,,,,,,,,,,,,,0.0,8.0,1.0,,,
abram-smith,Abram Smith,RB,,,,,,,,,,,,,,,0.0,13.0,1.0,0.0,14.0,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,,,,,,,,0.0,53.0,1.0,,,
briley-moore-mckinney,Briley Moore-Mckinney,TE,,,,,,,,,,,,,,,0.0,29.0,2.0,,,
cam-sutton,Cam Sutton,TE,,,,,,,,,,,,,,,0.0,19.0,2.0,,,
case-cookus,Case Cookus,QB,,,,,,,,0.0,,,,2.0,247.0,,,,,0.0,48.0,
chris-blewitt,Chris Blewitt,K,,,,,,28.0,,,,,,,,,,,,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,,,,0.0,76.0,7.0,,,
cole-hikutini,Cole Hikutini,TE,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
cole-murphy,Cole Murphy,K,,,,,,109.0,,,,,1.0,,,,,,,,,
corey-coleman,Corey Coleman,WR,,,,,,,,,,,,,,,0.0,55.0,4.0,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,,,,,2.0,104.0,8.0,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
defenders-dst,Defenders DST,DST,,,,,,,1.0,,0.0,,,,,22.0,,,,,,1.0
defenders-k,Defenders K,K/QB,,,,,,35.0,,0.0,,,1.0,2.0,371.0,,,,,0.0,16.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,57.0,
devin-gray,Devin Gray,WR,,,,,,,,,,,,,,,0.0,62.0,9.0,,,
dexter-williams,Dexter Williams,WR/RB,,,,,,,,,,,,,,,0.0,13.0,1.0,0.0,13.0,
diondre-overton,Diondre Overton,WR,,,,,,,,,,,,,,,1.0,29.0,1.0,,,
ej-perry,E.J. Perry,QB,,,1.0,,,,,0.0,,,,0.0,121.0,,,,,1.0,48.0,
emmanuel-butler,Emmanuel Butler,WR,1.0,,,,,,,,,,,,,,0.0,24.0,2.0,,,
georquarius-spivey,Geor\'Quarius Spivey,TE,,,,,,,,,,,,,,,0.0,8.0,1.0,,,
jalan-mcclendon,Jalan McClendon,QB,1.0,,,,,,,0.0,,1.0,,2.0,232.0,,,,,0.0,23.0,
jamyest-williams,Jamyest Williams,RB,,,,,,,,,,,,,,,,8.0,1.0,,22.0,
javon-antonio,Javon Antonio,WR,,,,,,,,,,2.0,,,,,0.0,24.0,2.0,,,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,,,,,0.0,17.0,3.0,,,
joe-walker,Joe Walker,WR,,,,,,,,,,,,,,,0.0,23.0,3.0,,,
jordan-taamu,Jordan Ta\'amu,QB,,,,,,,,0.0,,,,1.0,165.0,,,,,0.0,7.0,
josh-babicz,Josh Babicz,TE,,,,,,,,,,,,,,,0.0,5.0,1.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,,,,0.0,126.0,10.0,,,
kaden-davis,Kaden Davis,WR,,,,,,,,,,,,,,,0.0,32.0,3.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,,,2.0,34.0,3.0,,,
kevin-thomson,Kevin Thomson,QB,,,,,,,,0.0,,,,0.0,0.0,,,,,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,,,,,,0.0,18.0,2.0,0.0,0.0,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,,,,0.0,3.0,1.0,1.0,80.0,
luis-aguilar,Luis Aguilar,K,,,,,2.0,81.0,,,,,1.0,,,,,,,,,
marcus-baugh,Marcus Baugh,TE/WR,,,1.0,,,,,,,,,,,,,,,,,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,,,,,,,0.0,19.0,2.0,,,
matthew-mccrane,Matthew McCrane,K,,,,,,35.0,,,,,1.0,,,,,,,,,
mike-diliello,Mike DiLiello,QB,,,,,,,,0.0,,,,1.0,206.0,,,,,0.0,9.0,
panthers-dst,Panthers DST,DST,,1.0,,1.0,,,,,0.0,,,,,20.0,,,,,,0.0
panthers-k,Panthers K,K,,,,,,109.0,,,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,,,1.0,,,,,0.0,,,,0.0,121.0,,,,,1.0,48.0,
pro-wells,Pro Wells,TE,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
reggie-corbin,Reggie Corbin,RB,,,,,,,,,,,,,,,0.0,9.0,1.0,0.0,24.0,
roughnecks-dst,Roughnecks DST,DST,,,1.0,,,,2.0,,0.0,,,,,21.0,,,,,,0.0
roughnecks-k,Roughnecks K,K,,,,,,28.0,,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,1.0,,,,,,,0.0,,1.0,,2.0,232.0,,,,,0.0,23.0,
samuel-akem,Samuel Akem,WR,,,,,,,,,,,,,,,0.0,23.0,2.0,,,
seth-williams,Seth Williams,WR,,,,,,,,,,,,,,,0.0,22.0,4.0,,,
spencer-sanders,Spencer Sanders,QB,,,,,,,,,,,,,,,0.0,14.0,1.0,,,
stars-dst,Stars DST,DST,,,,,,,,,0.0,,,,,17.0,,,,,,0.0
stars-k,Stars K,K,,,,,2.0,81.0,,,,,1.0,,,,,,,,,
stars-qb,Stars QB,QB,,,,,,,,0.0,,,,2.0,247.0,,,,,0.0,48.0,
stevie-scott-iii,Stevie Scott III,RB,,,,,,,,,,,,,,,,,,0.0,12.0,
terry-wright,Terry Wright,WR,,,,,,,,,,,,,,,1.0,57.0,6.0,,,
trey-quinn,Trey Quinn,WR,,,,,,,,,,,,,,,0.0,44.0,3.0,,,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,,,,,,,,0.0,4.0,
