player_id,player_name,positions,1pt_conversion,conversions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
andre-szmyt,Andre Szmyt,K,,,,20.0,,,,,,,,,,,,,
austin-allen,Austin Allen,TE/RB,,,,,,,,,,,,0.0,0.0,0.0,,,
battlehawks-dst,Battlehawks DST,DST,1.0,,,,,,0.0,,,,30.0,,,,,,1.0
battlehawks-k,Battlehawks K,K,,,,20.0,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,,,,,3.0,,,1.0,179.0,,,,,2.0,51.0,
blake-jackson,Blake Jackson,WR,,,,,,,,1.0,,,,0.0,5.0,1.0,,,
caleb-vander-esch,Caleb Vander Esch,WR,,,,,,,,,,,,0.0,0.0,1.0,,,
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,,,,,0.0,47.0,5.0,,,
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,0.0,12.0,3.0,0.0,40.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,,0.0,39.0,4.0,,,
devin-darrington,Devin Darrington,RB,,,,,,,,,,,,,,,0.0,41.0,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,,0.0,12.0,2.0,,,
holton-ahlers,Holton Ahlers,QB,,,,,,,,,,,,,,,0.0,-1.0,
isaiah-winstead,Isaiah Winstead,WR,,2.0,,,,,,,,,,1.0,64.0,4.0,,,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,,0.0,0.0,0.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,,,,1.0,11.0,1.0,0.0,104.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,,0.0,13.0,2.0,,,
jake-sutherland,Jake Sutherland,WR/TE,,,,,,,,,,,,0.0,16.0,1.0,,,
jonathan-garibay,Jonathan Garibay,K,,,,64.0,,,,,,,,,,,,,
juwan-manigo,Juwan Manigo,WR,,,,,,,,,,,,0.0,0.0,1.0,,,
luis-perez,Luis Perez,QB,,2.0,,,,0.0,,,3.0,259.0,,,,,0.0,8.0,
manny-wilkins,Manny Wilkins,QB,,,,,,3.0,,,1.0,179.0,,,,,2.0,51.0,
renegades-dst,Renegades DST,DST,,,1.0,,1.0,,3.0,,,,21.0,,,,,,0.0
renegades-k,Renegades K,K,,,,64.0,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,,2.0,,,,0.0,,,3.0,259.0,,,,,0.0,7.0,
sal-cannella,Sal Cannella,TE,,,,,,,,,,,,1.0,70.0,5.0,,,
seth-green,Seth Green,TE,,1.0,,,,,,,,,,1.0,38.0,3.0,,,
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,,,,,,,46.0,4.0,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,,0.0,36.0,3.0,,,
wayne-gallman,Wayne Gallman,RB,,,,,,,,,,,,0.0,29.0,2.0,0.0,4.0,
