player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
andre-white-jr,Andre White Jr.,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,1.0,0.0,,
andrew-mevis,Andrew Mevis,K,,1.0,0.0,0.0,,,,,,,9.0,45.6,0.0,0.0,502.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,9.0
demilon-brown,Demilon Brown,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,6.0,1.0,3.8,16.0,13.0,1.0,49.0,,,,,,
destin-mack,Destin Mack,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
devonte-omalley,Devonte O\'MALLEY,DL,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,
dexter-lawson,Dexter Lawson,,2.0,,,,,,,,,1.0,,,,,,,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,1.0,3.0,,,,
dorian-helm,Dorian Helm,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
draysean-hudson,Draysean Hudson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,0.0,10.0,2.0,8.0,8.0,1.0,1.0,8.0,,,,,,
ezekiel-rose,Ezekiel Rose,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
fred-flavors,Fred Flavors,,1.0,,,,,,,,,1.0,,,,,,,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,3.0,4.0,,,,
isaac-ross,Isaac Ross,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,25.0,2.0,46.0,3.0,,,,,,,,,,,
jahki-douglas,Ja'hki Douglas,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jay-person,Jay Person,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
jonathan-ross,Jonathan Ross,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,0.5,0.0,,
kendall-bohler,Kendall Bohler,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
klayton-batten,Klayton Batten,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
leon-oneal,Leon O'Neal,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
liam-thompson,Liam Thompson,QB,,,,,,,,,0.0,,,,,,,,,,,,17.0,13.0,,26.0,7.0,171.0,,,,,,10.0,14.0,3.0,0.0,30.0,,,,,,
marcus-hillman,Marcus Hillman,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
najei-snyder,Najei Snyder,,2.0,,,,,,,,,1.0,,,,,,,-1.0,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,3.0,5.0,,,,
nick-belcher,Nick Belcher,,,1.0,0.0,0.0,,,,,,,3.0,35.8,0.0,0.0,358.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
nyqwan-murray,Nyqwan Murray,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.0,2.0,30.0,3.0,,,,,,,,,,,
paxton-delaurent,Paxton DeLaurent,QB,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,34.0,22.0,,36.0,8.0,283.0,,,,,,8.0,8.0,1.0,0.0,8.0,,,,,,
pooka-williams,Pooka Williams,RB/WR,0.0,,,,1.0,0.0,,,,2.0,,,,,,,13.0,17.0,0.0,26.0,,,,,,,14.3,30.0,2.0,86.0,6.0,3.3,14.0,9.0,1.0,30.0,0.0,0.0,,,,
scean-mustin,Scean Mustin,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.0,1.0,,,,
smoke-monday,Smoke Monday,CB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
sylvere-campbell,Sylvere Campbell,WR,,,,,,,,,,1.0,,,,,,,3.0,3.0,0.0,3.0,,,,,,,16.5,22.0,1.0,33.0,2.0,,,,,,,,,,,
team,TEAM,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,18.0,1.0,53.0,5.0,,,,,,,,,,,
tevaughn-grant,Tevaughn Grant,DE,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,3.0,,,,
thomas-owens,Thomas Owens,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,36.0,3.0,114.0,8.0,,,,,,,,,,,
trevon-alexander,Trevon Alexander,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,26.0,4.0,76.0,5.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,,,,
