player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
jake-wieneke,Jake Wieneke,WR,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,14.0,,1.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
jarnor-jones,Jarnor Jones,LB/DB,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jarveon-williams,Jarveon Williams,RB,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,13.0,,1.0,69.0,,,,6.0,1.0,1.0,,,,,,
jerminic-smith,Jerminic Smith,WR,,,,,,,,,,,,,,,,24.0,4.0,7.0,,12.0,49.0,,,,,,,,,,,,,,,,,,,,,
jerod-fernandez,Jerod Fernandez,LB/ILB,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
john-crockett,John Crockett,RB,,,,,,,,,,,,,,,,10.0,6.0,6.0,,33.0,37.0,,,,,,10.0,18.0,,51.0,1.0,,,2.0,,,,,,,,
jonathon-jennings,Jonathon Jennings,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,3.0,4.0,,,,18.0,3.0,3.0,,,,,,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,,,,,,,,8.0,1.0,3.0,,2.0,8.0,16.0,1.0,,,16.0,,,,,,,,,,,,,,,,
kevin-brown,Kevin BROWN,RB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lewis-ward,Lewis Ward,K,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,1.0,,14.0,,,,,,,,10.0,,,3.0,3.0,47.0,10.0,2.0,1.0
malcolm-carter,Malcolm Carter,WR,,,,,,,,,,,,,,,,10.0,2.0,3.0,,,16.0,,,,,,,,,,,,,,,,,,,,,
mark-korte,Mark Korte,OL,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matthew-shiltz,Matthew Shiltz,QB,,,,,,,,12.0,9.0,,19.0,,,1.0,101.0,,,,,,,,,,,,1.0,10.0,,10.0,,,,,,,,,,,,
najee-murray,Najee Murray,CB/DB/LB,1.0,,1.0,1.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
nathaniel-behar,Nathaniel Behar,WR,,,,,,,,,,,,,,,,9.0,2.0,4.0,,5.0,18.0,,,,,,,,,,,,,,,,,,,,,
patrick-levels,Patrick Levels,LB/DB,,1.0,4.0,,4.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rj-harris,R.J. Harris,WR,,,,,,,,,,,,,,,,20.0,7.0,7.0,,20.0,65.0,,,,,,,,,,,,,,,,,,,,,
randall-evans,Randall Evans,DB,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,,,,,,,,,,,,,,61.0,3.0,3.0,58.0,174.0,,,,,,,,,,,,,,,,
shaheed-salmon,Shaheed Salmon,LB/DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shakeir-ryan,Shakeir Ryan,WR,,,,,,,,,,,,,,,,,,,,,,25.0,2.0,,,42.0,,,,,,,,,,,,,,,,
sherrod-baltimore,Sherrod Baltimore,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stefan-logan,Stefan Logan,RB,,,,,,,,,,,,,,,,,,,,,,41.0,4.0,,,113.0,,,,,,,,,,,,,,,,
vernon-adams,Vernon Adams,QB,,,,,,,,16.0,13.0,,27.0,7.0,1.0,2.0,126.0,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,
william-arndt,William Arndt,QB,,,,,,,,25.0,17.0,1.0,20.0,,,,161.0,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,
william-stanback,William STANBACK,RB,,,,,,,,,,,,,,,,15.0,3.0,3.0,,19.0,21.0,,,,,,7.0,12.0,,45.0,,,,,,,,,,,,
woody-baron,Woody Baron,DL/DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
