player_id,player_name,positions,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
arthur-anderson-iv,ARTHUR ANDERSON IV,WR,,,,,36.0,2.0,,
adam-kruse,Adam Kruse,QB,3.0,4.0,159.0,,,,1.0,4.0
darius-prince,DARIUS PRINCE,WR,,,,1.0,86.0,6.0,,
daquan-bailey-brown,Daquan Bailey-Brown,WR,,,,,,,0.0,-4.0
demarius-washington,Demarius Washington,WR,,,,2.0,42.0,4.0,,
deshon-williams,Deshon  Williams,WR/TE,,,,,,,0.0,2.0
edward-smith,Edward Smith,WR,,,,1.0,53.0,4.0,,
fred-payton,Fred Payton,QB,,2.0,143.0,,,,2.0,11.0
jalen-morton,Jalen Morton,QB,0.0,3.0,169.0,,,,3.0,29.0
javin-kilgo,Javin Kilgo,QB,,1.0,106.0,,,,,18.0
joseph-hess,Joseph Hess,QB,1.0,0.0,35.0,,,,0.0,1.0
josiah-king,Josiah King,RB,,,,,,,,10.0
logan-wright,Logan Wright,RB,,,,,,,1.0,6.0
luis-gonzalez,Luis Gonzalez,RB,,,,,19.0,1.0,,13.0
quintavius-workman,Quintavius Workman,WR,,,,1.0,21.0,1.0,,
shiloh-flanagan,Shiloh Flanagan,WR,,,,1.0,60.0,6.0,,
tracy-brooks,Tracy Brooks,RB,,,,,,,,-5.0
