player_id,player_name,positions,conversions,field_goal_yards,interceptions,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
adrian-adams,Adrian Adams,WR,,,,,,,36.0,5.0,,
alexis-rosario,Alexis Rosario,WR,,,,,,2.0,33.0,5.0,,
andre-sale,Andre Sale,QB,,,,2.0,55.0,,,,,1.0
billings-k,BILLINGS K,K,9.0,31.0,,,,,,,,
billings-qb,BILLINGS QB,QB,,,,6.0,221.0,,,,4.0,10.0
braeden-wingle,Braeden Wingle,QB,,,1.0,4.0,166.0,,,,,9.0
corpus-christi-k,CORPUS CHRISTI K,K/QB,,,,2.0,143.0,,,,2.0,11.0
dalton-cole,Dalton Cole,QB,,,1.0,3.0,236.0,,,,1.0,8.0
jevin-frett,Jevin Frett,WR,,,,,,1.0,78.0,8.0,,
kenneth-brewer,Kenneth Brewer,WR,,,,,,1.0,68.0,6.0,1.0,5.0
kris-lewis,Kris Lewis,WR,,,,,,2.0,52.0,2.0,,
marquis-sampson,Marquis Sampson,WR,,,,,,1.0,87.0,3.0,,-4.0
matthew-ioane,Matthew Ioane,QB,,,,1.0,38.0,,,,,
oregon-qb,OREGON QB,QB,,,,4.0,274.0,,,,1.0,8.0
parker-lapsley,Parker Lapsley,RB,,,,,,,,1.0,,-4.0
richy-anderson,Richy Anderson,WR,,,,,,1.0,65.0,4.0,,
salina-qb,SALINA QB,QB,,,,1.0,106.0,,,,,18.0
sw-kansas-qb,SW KANSAS QB,QB,,,,3.0,169.0,,,,3.0,29.0
shawn-mcfarland,Shawn Mcfarland,RB,,,,,,2.0,27.0,2.0,3.0,67.0
washington-k,WASHINGTON K,K/QB,,,,4.0,194.0,,,,1.0,5.0
