player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,kick_returns,kr_avg,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,returning_intr_td,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
malik-mcdowell,Malik Mcdowell,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
prince-umanmielen,Prince Umanmielen,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
qaadir-shepard,Qaadir Shepard,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0
shahuan-williams,Sha'huan Williams,DL,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0
trevon-shorts,TREVON  SHORTS,RB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,0.0,6.0,0.0,0.0,12.0,0.0,1.0
tre-wortham,Tre Wortham,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0
trey-taylor,Trey Taylor,P,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
tyrese-chambers,Tyrese Chambers,WR,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,,,,,14.0,29.0,0.0,0.0,3.0,84.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,6.0,,
vincent-wilkerson-ii,Vincent Wilkerson II,WR,,,,,,,,,,,,,,,,,,,,,,,,,4.0,8.0,0.0,0.0,0.0,17.0,4.0,,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,,
will-caviness,Will Caviness,K,,,,,,,,,,,1.0,-5.0,0.0,-5.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
zuri-davis,Zuri Davis,WR,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,1.0,0.0,20.0,7.0,,,,,,,,,,
