player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
adam-bighill,Adam Bighill,LB,,,,,,,,,,,,,,4.0
alden-darby,Alden Darby,DB/LB,,,,,,,,,,,,,,1.0
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,0.0,4.0,1.0,0.0,42.0,,
brandon-alexander,Brandon Alexander,DB,,,,,,,,,,,,,,1.0
brett-lauther,Brett LAUTHER,K,6.0,49.0,,1.0,,,,,,,,,,
bryan-cox-jr,Bryan Cox Jr.,DL,,,,,,,,,,,,,,1.0
cj-reavis,C.J. Reavis,DB/LB,,,,,,,,,,,,,,3.0
carlton-agudosi,Carlton Agudosi,WR,,,,,,,,1.0,19.0,3.0,,,,
charbel-dabire,Charbel Dabire,DB/DL,,,,,,,,,,,,,,3.0
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,1.0,145.0,8.0,,,,
demarcus-christmas,DeMarcus Christmas,DB/DL,,,,,,,,,,,,,,3.0
deatrick-nichols,Deatrick Nichols,DB/CB,,,,,,,,,,,,,,2.0
demerio-houston,Demerio Houston,DB,,,,,,,,,,,,,,4.0
derel-walker,Derel Walker,WR,,,,,,,,,,,,,,1.0
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,1.0,66.0,5.0,,,,
dru-brown,Dru Brown,QB,,,0.0,,0.0,19.0,,,,,2.0,4.0,,
evan-holm,Evan Holm,DB,,,,,,,,,,,,,,5.0
frankie-hickson,Frankie Hickson,RB,,,,,,,,,,,0.0,1.0,,
jake-thomas,Jake Thomas,DB/DT,,,,,,,,,,,,,,2.0
jake-wieneke,Jake Wieneke,WR,,,,,,,,0.0,36.0,4.0,,,,
jamal-morrow,Jamal Morrow,RB,,,,,,,,0.0,17.0,1.0,0.0,25.0,,
jayden-dalke,Jayden Dalke,DB,,,,,,,,,,,,,,1.0
jeremy-clark,Jeremy Clark,DB,,,,,,,,,,,,,,2.0
jesse-briggs,Jesse Briggs,LB,,,,,,,,,,,,,,1.0
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,,,,0.0,31.0,,1.0
juwan-brescacin,Juwan Brescacin,WR,,,,,,,,0.0,29.0,2.0,,,,
lake-korte-moore,Lake Korte-Moore,DL,,,,,,,,,,,,,,1.0
larry-dean,Larry Dean,LB,,,,,,,,,,,,,,10.0
les-maruo,Les Maruo,LB,,,,,,,,,,,,,,1.0
malik-clements,Malik Clements,LB,,,,,,,,,,,,,,5.0
micah-teitz,Micah Teitz,LB,,,,,,,,,,,,,,2.0
mitchell-picton,Mitchell PICTON,WR,,,,,,,,0.0,0.0,0.0,,,,
nelson-lokombo,Nelson Lokombo,DB,,,,,,,,,,,,,,4.0
nic-demski,Nic DEMSKI,WR,,,,,,,,0.0,56.0,5.0,,,,
nick-hallett,Nick Hallett,DB,,,,,,,,,,,,,,1.0
pete-robertson,Pete Robertson,DB/DL,,,,,,,,,,,,,,4.0
rasheed-bailey,Rasheed Bailey,WR,,,,,,,,0.0,3.0,1.0,,,,10.0
redha-kramdi,Redha Kramdi,DB/LB,,,,,,,,,,,,,,1.0
rolan-milligan,Rolan Milligan,DB,,,,,,,,,,,,,,5.0
ssk-dst,SSK DST,DST,,,,,,,45.0,,,,,,1.0,
samuel-emilus,Samuel Emilus,WR,,,,,,,,3.0,77.0,7.0,,,,
sergio-castillo,Sergio CASTILLO,K,3.0,36.0,,,,,,,,,,,,
shawn-bane-jr,Shawn Bane Jr.,WR,,,,,,,,,132.0,6.0,,,,
shayne-gauthier,Shayne Gauthier,LB,,,,,,,,,,,,,,2.0
shea-patterson,Shea Patterson,QB,,,,,,,,,,,0.0,4.0,,
tanner-cadwallader,Tanner Cadwallader,LB,,,,,,,,,,,,,,3.0
tevin-jones,Tevin JONES,WR,,,,,,,,0.0,121.0,9.0,,,,
trevor-harris,Trevor HARRIS,QB,,,0.0,,3.0,413.0,,,,,0.0,23.0,,
wpg-dst,WPG DST,DST,,,,,,,27.0,,,,,,3.0,
willie-jefferson,Willie Jefferson,DB/DL/DE,,,,,,,,,,,,,,2.0
zach-collaros,Zach COLLAROS,QB,,,0.0,,2.0,293.0,,,,,1.0,26.0,,
