player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
a-zampa,A Zampa,,,,,,,,24.0,0.0,0.0,22.0,1.0,1.0,,1.0
aj-finch,AJ Finch,,1.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,1.0
asif-ali,Asif Ali,,1.0,0.0,0.0,4.0,0.0,0.0,,,,,,,1.0,1.0
babar-azam,Babar Azam,,34.0,5.0,0.0,2.0,39.0,0.0,,,,,,,,1.0
da-warner,DA Warner,,30.0,3.0,0.0,1.0,49.0,3.0,,,,,,,1.0,1.0
fakhar-zaman,Fakhar Zaman,,32.0,3.0,1.0,3.0,55.0,4.0,,,,,,,1.0,1.0
gj-maxwell,GJ Maxwell,,10.0,0.0,0.0,5.0,7.0,0.0,18.0,0.0,0.0,20.0,0.0,0.0,,1.0
haris-rauf,Haris Rauf,,,,,,,,18.0,0.0,0.0,32.0,0.0,0.0,1.0,1.0
hasan-ali,Hasan Ali,,,,,,,,24.0,0.0,1.0,44.0,0.0,0.0,,1.0
imad-wasim,Imad Wasim,,,,,,,,18.0,0.0,0.0,25.0,0.0,0.0,,1.0
jr-hazlewood,JR Hazlewood,,,,,,,,24.0,0.0,1.0,49.0,0.0,1.0,,1.0
ma-starc,MA Starc,,,,,,,,24.0,0.0,0.0,38.0,2.0,1.0,,1.0
mp-stoinis,MP Stoinis,,31.0,2.0,1.0,6.0,40.0,2.0,,,,,,,,1.0
mr-marsh,MR Marsh,,22.0,3.0,0.0,3.0,28.0,1.0,6.0,0.0,0.0,11.0,0.0,1.0,,1.0
ms-wade,MS Wade,,17.0,2.0,1.0,7.0,41.0,4.0,,,,,,,,1.0
mohammad-hafeez,Mohammad Hafeez,,1.0,0.0,1.0,6.0,1.0,0.0,6.0,0.0,1.0,13.0,0.0,1.0,,1.0
mohammad-rizwan,Mohammad Rizwan,,52.0,3.0,0.0,1.0,67.0,4.0,,,,,,,1.0,1.0
pj-cummins,PJ Cummins,,,,,,,,24.0,0.0,1.0,30.0,1.0,1.0,,1.0
spd-smith,SPD Smith,,6.0,1.0,0.0,4.0,5.0,0.0,,,,,,,2.0,1.0
shadab-khan,Shadab Khan,,,,,,,,24.0,0.0,0.0,26.0,4.0,0.0,,1.0
shaheen-shah-afridi,Shaheen Shah Afridi,,,,,,,,24.0,0.0,1.0,35.0,1.0,1.0,,1.0
shoaib-malik,Shoaib Malik,,2.0,0.0,0.0,5.0,1.0,0.0,,,,,,,,1.0
