player_id,player_name,positions,fumble_recoveries,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-hendy,A.J. Hendy,FS/DB,,,,,,,,,,,,2.0
ben-putman,Ben Putman,WR,,,,,,,10.0,1.0,,,,
brandon-silvers,Brandon Silvers,QB,,,,3.0,239.0,,,,,-1.0,,
brycen-alleyne,Brycen Alleyne,RB,,,,,,,8.0,3.0,,20.0,,
cj-brewer,C.J. Brewer,DL/DT,,,,,,,,,,,,1.0
caevon-patton,Caevon Patton,DL/DE,,,,,,,,,,,,1.0
cedric-byrd,Cedric Byrd,WR,,,,,,,37.0,7.0,,,,
charleston-rambo,Charleston RAMBO,WR,,1.0,,,,1.0,89.0,2.0,,,,
cody-latimer,Cody Latimer,TE,,,,,,,57.0,4.0,,,,
cole-mcdonald,Cole McDonald,QB,,,,,14.0,,,,,31.0,,
deandre-johnson-2,Deandre Johnson,LB/OLB,,,,,,,,,,,,1.0
deddrick-thomas,Deddrick Thomas,WR,,,,,,,14.0,2.0,,16.0,,
dejoun-lee,Dejoun Lee,RB,,,,,,,17.0,3.0,2.0,45.0,,
deondre-francois,Deondre Francois,QB,,,,,19.0,,,,,6.0,,
deontay-burnett,Deontay Burnett,WR,,,,,,1.0,62.0,3.0,,,,
eli-rogers,Eli Rogers,WR,,,,,,,23.0,2.0,,,,
gerald-willis,Gerald Willis,DL,,,,,,,,,,,,2.0
guardians-dst,Guardians DST,DST,,,,,,,,,,,2.0,
guardians-qb,Guardians QB,QB,,1.0,,2.0,286.0,,,,,6.0,,
jacoby-jones,Jacoby Jones,DL,,,,,,,,,,,0.5,2.0
jah-maine-martin,Jah-Maine Martin,RB,,,,,,,,,,20.0,,
john-daka,John Daka,LB/DL,,,,,,,,,,,,2.0
jontre-kirklin,Jontre Kirklin,WR,,,,1.0,49.0,1.0,49.0,2.0,,,,
jordan-mosley,Jordan Mosley,SS/DB,,,,,,,,,,,,4.0
justin-smith,Justin Smith,WR,,,,,,,8.0,2.0,,,,
logan-carter,Logan Carter,TE,,,,,,,19.0,2.0,,,,
marcus-murphy-2,Marcus Murphy,DB,,,,,,,,,,,,4.0
matt-elam,Matt Elam,DB,,,1.0,,,,,,,,,1.0
mike-lee,Mike Lee,DB,,,,,,,,,,,,3.0
najeem-hosein,Najeem Hosein,DB,,,,,,,,,,,,3.0
nick-coe,Nick Coe,DL,,,,,,,,,,,,1.0
nick-holley,Nick Holley,WR/RB,,,,,,,28.0,3.0,,,,
paxton-lynch,Paxton Lynch,QB,,1.0,,2.0,267.0,,,1.0,,,,
raleigh-texada,Raleigh Texada,DB,,,1.0,,,,,,,,,5.0
roughnecks-qb,Roughnecks QB,QB,,,,3.0,253.0,,,,,30.0,,
shaquille-wiggins,Shaquille Wiggins,DB,,,,,,,,,,,,2.0
stansly-maponga,Stansly Maponga,DL/DB,,,,,,,,,,,0.5,1.0
tavante-beckett,Tavante Beckett,LB,,,1.0,,,,,,,,,5.0
terrance-plummer,Terrance Plummer,LB,,,,,,,,,,,,7.0
terrance-smith,Terrance Smith,LB,,,,,,,,,,,,3.0
travell-harris,Travell Harris,WR,,,,,,2.0,83.0,3.0,,,,
william-likely,William Likely,DB,1.0,,2.0,,,,,,,,,1.0
