player_id,player_name,positions,fg_made,pass_td,recv_td
carlos-vazquez,Carlos Vazquez,K,2.0,,
christian-atkins,Christian Atkins,LB,,,1.0
demry-croft,Demry Croft,QB,3.0,,
jakaylen-jackson,Jakaylen Jackson,DB,,,1.0
joenez-coleman,Joenez Coleman,OL,,2.0,
