player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_ir,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
alden-darby,Alden Darby,DB/LB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alex-singleton,Alex Singleton,LB,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-buckley,Andrew Buckley,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,3.0,,,,,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,,,,,29.0,1.0,1.0,,13.0,29.0,,,,,,,,,,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,,,,,19.0,2.0,4.0,,1.0,22.0,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,42.0,31.0,1.0,,10.0,2.0,2.0,384.0,,,,,,,,,,,,,,,,,,,,,,,,
brandon-harris,Brandon Harris,DB,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-smith,Brandon Smith,DB/LB,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-whitaker,Brandon Whitaker,RB,,,,,,,,,,,,,,,,14.0,5.0,5.0,,8.0,29.0,,,,,,6.0,7.0,15.0,,,,,,,,,,
cassius-vaughn,Cassius Vaughn,DB,1.0,,2.0,1.0,2.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,,,,,,
ciante-evans,Ciante Evans,DB,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,4.0,,,,,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,,,,,,,,,,,8.0,12.0,2.0,21.0,114.0,,,,,,,,,,2.0,12.0,2.0,,,,,,
devier-posey,DeVier Posey,WR,,,,,,,,,,,,,,,,21.0,5.0,5.0,,23.0,59.0,,,,,,,,,,,,,,,,,,
declan-cross,Declan Cross,RB/FB,,,,,,,,,,,,,,,,39.0,2.0,3.0,,40.0,40.0,,,,,,,,,,,,,,,,,,
dylan-wynn,Dylan Wynn,DT/DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,,2.0,2.0,,2.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
