player_id,player_name,positions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,0.0,23.0,3.0,0.0,67.0,
daewood-davis,Daewood Davis,WR,,,,,,,,,,0.0,5.0,1.0,,,
deneric-prince,Deneric Prince,RB,,,,,,,,,,0.0,0.0,0.0,0.0,22.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,1.0,42.0,4.0,,,
dresser-winn,Dresser Winn,QB,,,1.0,,,,0.0,83.0,,,,,0.0,2.0,
ej-perry,E.J. Perry,QB,,,0.0,,1.0,,0.0,89.0,,,,,0.0,2.0,
eli-stove,Eli Stove,WR,,,,,,,,,,0.0,49.0,1.0,,,
holton-ahlers,Holton Ahlers,QB,,,0.0,,,,1.0,2.0,,,,,,,
isaiah-washington,Isaiah Washington,WR,,,,,,,,,,0.0,54.0,3.0,,,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,0.0,0.0,0.0,,,
isiah-hennie,Isiah Hennie,WR,,,,,,,,,,0.0,12.0,1.0,,,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,0.0,9.0,1.0,1.0,15.0,
jalen-jackson,Jalen Jackson,RB,,,,,,,,,,0.0,8.0,2.0,1.0,16.0,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,0.0,6.0,1.0,,,
kai-locksley-2,Kai Locksley,WR,,,,,,,,,,0.0,9.0,1.0,,,
kwame-lassiter-ii,Kwame Lassiter II,WR,,,,,,,,,,0.0,29.0,2.0,,,
lucas-havrisik,Lucas Havrisik,K/PK,67.0,,,,,1.0,,,,,,,,,
luis-perez,Luis Perez,QB,,,0.0,,,,2.0,206.0,,,,,0.0,-3.0,
matt-coghlin,Matt Coghlin,K,70.0,,,,,,,,,,,,,,
renegades-dst,Renegades DST,DST,,1.0,,1.0,,,,,12.0,,,,,,5.0
renegades-k,Renegades K,K,67.0,,,,,1.0,,,,,,,,,
renegades-qb,Renegades QB,QB,,,0.0,,,,3.0,208.0,,,,,0.0,-3.0,
showboats-k,SHOWBOATS K,K,70.0,,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,1.0,,1.0,,0.0,172.0,,,,,0.0,4.0,
sal-cannella,Sal Cannella,TE,,,,,,,,,,0.0,25.0,3.0,,,
seth-green,Seth Green,TE,,,,,,,,,,1.0,2.0,2.0,,,
showboats-dst,Showboats DST,DST,,,,0.0,,,,,30.0,,,,,,2.0
tony-jones-jr,Tony Jones Jr.,RB,,,,,,,,,,,,,0.0,18.0,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,1.0,107.0,8.0,,,
