player_id,player_name,positions,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,defensive_tfl,forced_fumbles,fumble_recoveries,interceptions,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passing_2pt,passing_rate,passing_sacks,passing_td_pass,passing_yards,passing_yds_lost,rec_avg,rec_long,receiving_2pt,receiving_fum,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_2pt,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,tackles
andrew-mcbride,Andrew McBride,QB,,568.0,,,,,,,,1.0,44.0,25.0,41.0,12.0,0.0,108.0,0.0,6.0,304.0,0.0,10.0,10.0,0.0,0.0,1.0,10.0,1.0,-1.0,6.0,0.0,3.0,0.0,0.0,-3.0,,
brandon-tolbert,Brandon Tolbert,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
david-haney,David Haney,WR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
donavan-thurman,Donavan Thurman,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
dontrell-morrison,Dontrell Morrison,WR,,,,,,,,,,,,,,,,,,,,,16.0,30.0,0.0,0.0,1.0,32.0,2.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,,
jaylen-schleicher,Jaylen  Schleicher,WR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,10.0,10.0,0.0,0.0,1.0,20.0,2.0,,,,,,,,0.0,1.0
jaylon-tucker,Jaylon Tucker,WR,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,,
jerrime-neal,Jerrime Neal,WR,,,,,,,,,,,,,,,,,,,,,14.0,36.0,0.0,0.0,2.0,81.0,6.0,,,,,,,,,
john-griggs,John Griggs,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
jovohn-tucker,Jovohn Tucker,WR,,1.0,,,,,,,,0.0,3.0,3.0,45.0,17.0,0.0,158.0,0.0,1.0,50.0,0.0,7.0,0.0,0.0,0.0,2.0,36.0,5.0,,,,,,,,,
keewan-alfred,Keewan Alfred,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
kyrin-beachem,Kyrin Beachem,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0
lance-desorbo,Lance Desorbo,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
lonnie-bickham-iii,Lonnie Bickham III,RB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
malik-mcdowell,Malik Mcdowell,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0
robert-robinson,Robert Robinson,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
rudy-johnson,Rudy Johnson,QB,0.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,45.0,10.0,0.0,138.0,0.0,4.0,167.0,0.0,,,,,,,,1.0,4.0,0.0,3.0,0.0,1.0,4.0,0.0,1.0
ryan-hibbits,Ryan Hibbits,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,1.0,0.0,0.0,3.0,,
shijuan-rogers,Shijuan Rogers,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
sidney-jones,Sidney Jones,DL,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0
simeon-burns,Simeon Burns,DB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0
tajae-brooks,Tajae Brooks,WR,,,,,,,,,,,,,,,,,,,,,23.0,45.0,0.0,0.0,1.0,90.0,4.0,20.0,20.0,0.0,1.0,0.0,0.0,20.0,,
tyler-kennedy,Tyler Kennedy,WR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0
vincent-strange-jr,Vincent Strange Jr.,WR,,,,,,,,,,,,,,,,,,,,,11.0,45.0,0.0,0.0,1.0,90.0,8.0,,,,,,,,,
vincent-wilkerson-ii,Vincent Wilkerson II,WR,,1.0,,,,,,,,0.0,1.0,1.0,10.0,10.0,0.0,148.0,0.0,1.0,10.0,0.0,7.0,16.0,0.0,0.0,0.0,36.0,5.0,,,,,,,,,
zuri-davis,Zuri Davis,WR,,,,,,,,,,,,,,,,,,,,,14.0,41.0,0.0,0.0,2.0,135.0,10.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,,
