player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,,0.0,-1.0,1.0,2.0,128.0,
bryce-perkins,Bryce Perkins,QB,,,,,,,,,,,,0.0,3.0,
cgy-dst,CGY DST,DST,,,,4.0,,,,30.0,,,,,,3.0
cgy-k,CGY K,K,6.0,98.0,,,1.0,,,,,,,,,
cgy-qb,CGY QB,QB,,,0.0,,,3.0,319.0,,,,,0.0,3.0,
clark-barnes,Clark BARNES,WR,,,,,,,,,0.0,13.0,1.0,,,
dante-daniels,Dante DANIELS,,,,,,,,,,0.0,9.0,1.0,,,
dedrick-mills,Dedrick MILLS,RB,,,,,,,,,0.0,6.0,1.0,1.0,60.0,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,0.0,0.0,0.0,,,
erik-brooks,Erik BROOKS,WR,,,,,,,,,0.0,64.0,7.0,,,
gavin-cobb,Gavin COBB,WR,,,,,,,,,0.0,26.0,3.0,,,
jalen-philpot,Jalen PHILPOT,WR,,,,,,,,,1.0,128.0,4.0,0.0,8.0,
jude-mcatamney,Jude McAtamney,K/PK,6.0,98.0,,,1.0,,,,,,,,,
kevens-clercius,Kevens Clercius,WR,,,,,,,,,0.0,4.0,1.0,,,
michael-chris-ike,Michael CHRIS-IKE,RB,,,,,,,,,,,,0.0,3.0,
nic-demski,Nic DEMSKI,WR,,,,,,,,,1.0,76.0,7.0,,,
ontaria-wilson,Ontaria Wilson,WR,,,,,,,,,0.0,95.0,7.0,,,
quincy-vaughn,Quincy VAUGHN,QB,,,,,,,,,,,,0.0,3.0,
sergio-castillo,Sergio CASTILLO,K,3.0,120.0,,,1.0,,,,,,,,,
tevin-jones,Tevin JONES,WR,,,,,,,,,1.0,46.0,3.0,,,
tim-white,Tim WHITE,WR,,,,,,,,,0.0,32.0,3.0,0.0,2.0,
tommy-nield,Tommy Nield,WR,,,,,,,,,0.0,8.0,1.0,,,
tyreik-mcallister,Tyreik McAllister,RB/WR,,,,,,,,,1.0,62.0,2.0,1.0,17.0,
vernon-adams-jr,Vernon ADAMS JR.,QB,,,,,,3.0,319.0,,,,,,,
wpg-dst,WPG DST,DST,,,,,,,,52.0,,,,,,3.0
wpg-k,WPG K,K,3.0,120.0,,,1.0,,,,,,,,,
wpg-qb,WPG QB,QB,,,4.0,,,1.0,249.0,,,,,0.0,3.0,
