player_id,player_name,positions,fg_made,pass_td,recv_td,rush_td
dee-reese,Dee Reese,DB,,,1.0,
dion-kuinlan,Dion Kuinlan,DB,,3.0,,
josue-hernandez,Josue Hernandez,K,,,,1.0
luiz-ferreira,Luiz Ferreira,K,,,1.0,
neriyan-brown,Neriyan Brown,DB,1.0,,,
noah-hambrick,Noah Hambrick,DB,,,1.0,
rico-moore,Rico Moore,LB,3.0,,,
