player_id,player_name,positions,def_ast,def_pd,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_yds
jonathon-mincy,Jonathon Mincy,DB,1.0,1.0,3.0,4.0,,,,
jordan-williams-lambert,Jordan Williams-Lambert,WR,,,,,9.0,2.0,2.0,17.0
mathieu-betts,Mathieu Betts,DB/DL/DE,,,2.0,2.0,,,,
