player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
aaron-barcio,Aaron Barcio,P,2.0,,17.0,16.0,,,,,,17.0,,55.0,76.0
alec-wilson-holliday,Alec Wilson Holliday,P,2.0,,22.0,17.0,,5.0,2.0,,,17.0,,306.0,56.0
ben-price,Ben Price,P,3.0,,11.0,13.0,,1.0,,1.0,,13.0,,42.0,163.0
ben-rogers,Ben Rogers,P,1.0,2.0,2.0,4.0,,,2.0,,,4.0,,18.0,-23.0
brandon-lin,Brandon Lin,P,,,3.0,2.0,,1.0,,,,2.0,,31.0,6.0
brendan-adams,Brendan Adams,P,,,25.0,29.0,,,2.0,,,30.0,1.0,80.0,69.0
caleb-enright,Caleb Enright,P,,1.0,7.0,4.0,,2.0,1.0,,,5.0,1.0,95.0,26.0
cam-albin,Cam Albin,P,1.0,,12.0,11.0,,1.0,,1.0,,11.0,,87.0,67.0
christian-parker,Christian Parker,P,,,2.0,2.0,,,,,1.0,3.0,,31.0,5.0
colin-smith,Colin Smith,P,1.0,1.0,1.0,2.0,,,,,6.0,2.0,,1.0,32.0
connor-bryant,Connor Bryant,P,,,9.0,9.0,,,,,,10.0,1.0,19.0,36.0
connor-deluna,Connor DeLuna,P,,2.0,5.0,1.0,,4.0,,,,1.0,,102.0,-3.0
connor-ughetta,Connor Ughetta,P,1.0,,30.0,31.0,,,,,7.0,32.0,1.0,104.0,205.0
darren-phillips,Darren Phillips,P,,,16.0,12.0,,2.0,2.0,,,13.0,1.0,242.0,47.0
elliot-sakach,Elliot Sakach,P,1.0,,4.0,4.0,,,,,,4.0,,33.0,32.0
griffin-miller,Griffin Miller,P,3.0,1.0,29.0,27.0,,1.0,1.0,1.0,,28.0,1.0,259.0,162.0
jack-wooldridge,Jack Wooldridge,P,,1.0,13.0,21.0,,1.0,,,,21.0,,19.0,137.0
jake-floyd,Jake Floyd,P,3.0,,32.0,32.0,,1.0,4.0,1.0,,35.0,3.0,138.0,259.0
jake-worthington,Jake Worthington,P,,,16.0,14.0,,2.0,2.0,,,14.0,,140.0,29.0
jason-hustad,Jason Hustad,P,3.0,,47.0,51.0,,,3.0,3.0,,55.0,4.0,56.0,684.0
john-clyde,John Clyde,P,1.0,,17.0,22.0,,1.0,2.0,1.0,9.0,25.0,3.0,10.0,178.0
john-shelley,John Shelley,P,1.0,,20.0,21.0,1.0,,,,,27.0,6.0,59.0,165.0
jon-deamicis,Jon DeAmicis,P,,,1.0,1.0,,,,,,1.0,,,7.0
jordan-salazar,Jordan Salazar,P,1.0,1.0,7.0,6.0,,,1.0,,,7.0,1.0,37.0,47.0
kevin-land,Kevin Land,P,1.0,,12.0,13.0,,,,1.0,,14.0,1.0,67.0,93.0
kevin-richardson,Kevin Richardson,P,3.0,2.0,5.0,7.0,,,,2.0,8.0,7.0,,70.0,115.0
mark-baldauf,Mark Baldauf,P,2.0,,33.0,39.0,,1.0,3.0,1.0,,41.0,2.0,76.0,321.0
matt-lyle,Matt Lyle,P,,,3.0,3.0,,,1.0,,,3.0,,4.0,3.0
max-grove,Max Grove,P,1.0,,12.0,11.0,,,2.0,,,12.0,1.0,86.0,62.0
myles-cooper,Myles Cooper,P,,1.0,3.0,3.0,,1.0,1.0,,,3.0,,33.0,2.0
noah-powell,Noah Powell,P,,,8.0,4.0,,3.0,,,,5.0,,189.0,3.0
owen-smith,Owen Smith,P,1.0,,6.0,4.0,,2.0,,,,4.0,,113.0,10.0
ryan-buckingham,Ryan Buckingham,P,3.0,,17.0,14.0,,2.0,1.0,,,15.0,1.0,255.0,24.0
samuel-roberts,Samuel Roberts,P,,,5.0,10.0,,,2.0,1.0,6.0,10.0,,31.0,107.0
timothy-mosher,Timothy Mosher,P,,,1.0,1.0,1.0,,,,,1.0,,5.0,8.0
zachary-cotter,Zachary Cotter,P,2.0,,8.0,6.0,1.0,2.0,1.0,1.0,2.0,6.0,,117.0,67.0
