player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
calvin-lowe,Calvin Lowe,WR,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,14.0,0.0,14.0,10.0,10.0,0.0,10.0,1.0,0.0,3.0,4.0,0.0,0.0,,,,,,,,
colby-thomas,Colby Thomas,G/OL,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,5.0,,,,
cornel-jones,Cornel Jones,LB,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,7.0,11.0,,,,
demetrich-anderton,Demetrich Anderton,OL,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,0.5,0.0,,
desmond-grace,Desmond Grace,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,,,3.0,5.0,,,,
dylan-karnes,Dylan Karnes,K,,,,,,,,1.0,,36.0,0.0,0.0,72.0,2.0,5.0,5.0,0.0,5.0,,,,,,,9.5,15.0,1.0,38.0,4.0,2.4,6.0,7.0,1.0,17.0,,,,,,,,
giovanni-sanders,Giovanni Sanders,QB,,,,,,,,1.0,,38.7,0.0,0.0,116.0,3.0,7.0,7.0,0.0,7.0,,,,,,,4.0,6.0,0.0,8.0,2.0,4.0,11.0,7.0,0.0,28.0,,,,,,,,
greg-conry,Greg Conry,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,1.0,1.0,1.0,0.0,,
idrissa-nikiema,Idrissa Nikiema,K,,,,,,,,,3.0,44.3,0.0,0.0,310.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0
isaiah-blackmon,Isaiah Blackmon,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
jack-robinson,Jack Robinson,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,3.0,2.0,0.0,,
jarvai-flowers,Jarvai Flowers,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,2.0,0.0,,
jelani-baker,Jelani Baker,WR,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,,,,
joenez-coleman,Joenez Coleman,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,4.0,,,,,,,7.3,15.0,0.0,29.0,,,,,,,16.5,19.0,1.0,33.0,2.0,,,,,,,,,,,,,
joshua-hollins,Joshua Hollins,QB,,,,,,,,,,,,,,,,,,,,,,,,,12.3,18.0,2.0,49.0,4.0,,,,,,,,,,,,,
josue-hernandez,Josue Hernandez,K,,,,,,,,,,,,,,,,,,,,,,,,,30.0,30.0,1.0,30.0,1.0,,,,,,,,,,,,,
justin-clarkson,Justin Clarkson,WR,,,,,,,,,,,,,,,,,,,,,,,,,10.7,18.0,0.0,32.0,3.0,,,,,,,,,,,,,
justin-gilbert,Justin Gilbert,DB,,,,,,,0.0,,,,,,,,,,,,17.0,14.0,,30.0,5.0,192.0,,,,,,-4.0,1.0,4.0,0.0,-16.0,,,,,,,,
kaleb-lowe,Kaleb Lowe,QB,,,,,,,,,,,,,,,,,,,,,,,,,9.6,23.0,1.0,48.0,5.0,3.7,7.0,3.0,0.0,11.0,,,,,,,,
kameronn-joseph,Kameronn Joseph,WR,6.0,1.0,0.0,41.0,41.0,41.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,7.0,,,,
keith-wright-jr,Keith Wright Jr,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
khalil-steward-injured-reserve,Khalil Steward (Injured Reserve),DB,,,,,,,,2.0,,,,,,,16.5,18.0,0.0,33.0,,,,,,,8.0,11.0,0.0,16.0,2.0,1.6,4.0,9.0,1.0,14.0,,,,,,,,
khalil-trotman,Khalil Trotman,QB,2.0,,,,,,,,,35.0,0.0,0.0,35.0,1.0,,,,,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,2.0,4.0,,,,
kyle-jarvis,Kyle Jarvis,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
rashard-budd,Rashard Budd,DL,,,,,,,,,,,,,,,,,,,,,,,,,10.0,20.0,1.0,40.0,4.0,4.0,4.0,1.0,0.0,4.0,,,,,,,,
raymond-cutts,Raymond Cutts,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
roderick-ross-jr,Roderick Ross Jr.,OL,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.5,2.0,8.0,2.0,0.0,,
sidney-jones,Sidney Jones,DL,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,7.0,,,,
tavin-fitzgerald,Tavin Fitzgerald,DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,,,
thomas-kadera,Thomas Kadera,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,1.0,2.0,1.0,0.0,,
tyler-meeks,Tyler Meeks,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,13.6,27.0,1.0,68.0,5.0,,,,,,,,1.0,1.0,,,,
