player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
anthony-lanier,Anthony Lanier,DB,1.0,3.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blace-brown,Blace Brown,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brayden-lenius,Brayden Lenius,WR,,,,,,,,,,,,6.0,1.0,2.0,,4.0,6.0,,,,,,,,,,,,,,,,,,,
brett-lauther,Brett LAUTHER,K,,,,,,,,,,,,,,,,,,76.0,1.0,1.0,25.0,76.0,,,,,,4.0,,,1.0,1.0,33.0,4.0,1.0,1.0
bruno-labelle,Bruno LABELLE,WR/FB,,,,,,,,,,,,,,,,,,3.0,1.0,,,3.0,,,,,,,,,,,,,,
cameron-judge,Cameron Judge,LB,1.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DB/DL,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-grace,Cody Grace,K/P,,,,,,,,,,,,,,,,,,61.0,4.0,2.0,14.0,185.0,,,,,,,,,,,,,,
colton-hunchak,Colton Hunchak,WR,,,,,,,,,,,,14.0,1.0,1.0,,9.0,14.0,,,,,,,,,,,,,,,,,,,
darnell-sankey,Darnell Sankey,LB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dedrick-mills,Dedrick MILLS,RB,,,,,,,,,,,,,,,,,,,,,,,14.0,42.0,1.0,125.0,,6.0,1.0,1.0,,,,,,
derek-wiggan,Derek Wiggan,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraser-sopik,Fraser Sopik,LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
godfrey-onyeka,Godfrey Onyeka,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
isaac-adeyemi-berglund,Isaac Adeyemi-Berglund,DB/DL,3.0,3.0,3.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-maier,Jake Maier,QB,,,,,16.0,13.0,17.0,7.0,1.0,1.0,105.0,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,
jalen-philpot,Jalen PHILPOT,WR,,,,,,,,,,,,,2.0,2.0,1.0,7.0,12.0,25.0,1.0,,,25.0,,,,,1.0,6.0,,1.0,,,,,,
jamal-morrow,Jamal Morrow,RB,,,,,,,,,,,,22.0,4.0,4.0,,24.0,27.0,15.0,3.0,,,41.0,8.0,30.0,1.0,63.0,,6.0,1.0,1.0,,,,,,
jameer-thurman,Jameer Thurman,DB/LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
james-tuck,James Tuck,FB,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
jayden-dalke,Jayden Dalke,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremy-clark,Jeremy Clark,DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jester-weah,Jester Weah,WR,,,,,,,,,,,,5.0,2.0,3.0,,2.0,9.0,,,,,,,,,,,,,,,,,,,
jordan-beaulieu,Jordan Beaulieu,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaare-vedvik,Kaare Vedvik,K/P,,,,,,,,,,,,,,,,,,53.0,8.0,8.0,69.0,325.0,,,,,,,,,,,,,,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,,,,,11.0,5.0,10.0,,16.0,25.0,,,,,,,,,,,,,,,,,,,
kobe-williams,Kobe Williams,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
larry-dean,Larry Dean,LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luther-hakunavanhu,Luther HAKUNAVANHU,WR,,,,,,,,,,,,12.0,3.0,3.0,,6.0,17.0,,,,,,,,,,,,,,,,,,,
mario-alford,Mario ALFORD,WR,,,,,,,,,,,,,,,,,,46.0,3.0,,,93.0,,,,,,,,,,,,,,
mason-fine,Mason Fine,QB,,,,,32.0,21.0,24.0,41.0,6.0,,168.0,,,,,,,,,,,,2.0,15.0,,17.0,,,,,,,,,,
miles-brown,Miles Brown,DB/DL/DT,1.0,2.0,2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mitchell-picton,Mitchell PICTON,WR,,,,,,,,,,,,13.0,3.0,5.0,,5.0,25.0,,,,,,,,,,,,,,,,,,,
natrell-jamerson,Natrell Jamerson,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parnell-motley,Parnell Motley,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peyton-logan,Peyton Logan,RB,,,,,,,,,,,,12.0,1.0,1.0,,12.0,12.0,21.0,7.0,,,69.0,5.0,7.0,,21.0,,,,,,,,,,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,17.0,6.0,8.0,1.0,28.0,60.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
