player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
corpus-christi-qb,CORPUS CHRISTI QB,QB,,1.0,1.0,110.0,,,,1.0,4.0
dalton-cole,Dalton Cole,QB,1.0,,5.0,285.0,,,,,
josiah-king,Josiah King,RB,,,,,0.0,15.0,2.0,,
kris-lewis,Kris Lewis,WR,,,,,3.0,41.0,4.0,,
maurice-ashley,Maurice Ashley,WR,,,,,1.0,93.0,6.0,,
moe-strong,Moe Strong,WR,,,,,1.0,53.0,3.0,,
richy-anderson,Richy Anderson,WR,,,,,0.0,40.0,4.0,,
