player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
austin-mack,Austin Mack,WR,,,,,,1.0,26.0,3.0,0.0,0.0
ayden-eberhardt,Ayden EBERHARDT,WR,,,,,,0.0,49.0,4.0,,
brendan-oleary-orange,Brendan O\'LEARY-ORANGE,WR,,,,,,0.0,18.0,4.0,,
brett-lauther,Brett LAUTHER,K,1.0,69.0,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,0.0,1.0,266.0,,,,0.0,11.0
cole-snyder,Cole SNYDER,QB,,,,,,,,,0.0,1.0
daniel-adeboboye,Daniel ADEBOBOYE,RB,,,,,,0.0,7.0,3.0,1.0,87.0
edm-k,EDM K,K,2.0,112.0,,,,,,,,
edm-qb,EDM QB,QB,,,0.0,1.0,266.0,,,,0.0,12.0
elijah-collins,Elijah COLLINS,RB,,,,,,0.0,11.0,3.0,0.0,8.0
eugene-lewis,Eugene LEWIS,WR,,,,,,0.0,47.0,3.0,,
jake-maier,Jake Maier,QB,,,0.0,1.0,203.0,,,,0.0,7.0
javon-leake,Javon LEAKE,RB,,,,,,,,,0.0,8.0
joshua-cephus,Joshua Cephus,WR,,,,,,0.0,13.0,2.0,,
justin-hardy,Justin HARDY,WR,,,,,,1.0,20.0,2.0,,
justin-rankin,Justin Rankin,RB,,,,,,0.0,94.0,5.0,1.0,102.0
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,0.0,41.0,3.0,,
kalil-pimpleton,Kalil PIMPLETON,WR,,,,,,0.0,32.0,3.0,,
keelan-white,Keelan WHITE,WR,,,,,,0.0,37.0,4.0,,
max-duggan,Max Duggan,QB,,,,,,,,,0.0,-3.0
ott-k,OTT K,K,1.0,69.0,,,,,,,,
ott-qb,OTT QB,QB,,,0.0,1.0,203.0,,,,0.0,4.0
skyler-griffith,Skyler GRIFFITH,FB,,,,,,0.0,9.0,1.0,,
vincent-blanchard,Vincent Blanchard,K,2.0,112.0,,,,,,,,
