player_id,player_name,positions,assist_tackles,completions,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,pass_attempts,passing_tds,passing_yards,pr_fc,punt_avg,punt_long,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,targets,xp_att_game
aaron-murray,Aaron Murray,QB,,4.0,,,,,,,,,,,,,,,,1.0,,7.0,0.0,38.0,,,,,,,,,,,,,,,,,
akeem-hunt,Akeem Hunt,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0,0.0,73.0,,3.0,
anthony-moten,Anthony Moten,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,
austin-appleby,Austin Appleby,QB,,1.0,,,,,,,,,,,,,,,,0.0,,1.0,0.0,4.0,,,,,,,,,,,,1.0,0.0,1.0,,,
azeem-victor,Azeem Victor,OLB/DB/DL,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,
ben-turk,Ben Turk,,,,,,,,,,,,,,,,,,,,,,,,,43.3,57.0,0.0,130.0,3.0,0.0,2.0,,,,,,,,,
brandon-watts,Brandon Watts,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
bryce-canady,Bryce Canady,DB,1.0,,,,,,,,,,,,,5.0,5.0,0.0,5.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,
bug-howard,Bug Howard,WR/TE,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,34.0,4.0,,,,1.0,5.0,
cameron-nizialek,Cameron Nizialek,P,,,,,,,,,,,,,,,,,,,,,,,,47.4,56.0,1.0,237.0,5.0,0.0,1.0,,,,,,,,,
carlos-merritt,Carlos Merritt,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
charles-johnson,Charles Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,4.0,,,,,5.0,
charles-standberry,Charles Standberry,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,2.0,,,,,2.0,
chris-thompson,Chris Thompson,WR,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,30.0,4.0,,,,,5.0,
christian-french,Christian French,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,
dernest-johnson,D\'Ernest Johnson,RB,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,33.0,1.0,5.0,0.0,35.0,,1.0,
damian-swann,Damian Swann,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,1.0,5.0,1.0,13.0,,1.0,
denard-robinson,Denard Robinson,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,5.0,0.0,3.0,,1.0,
des-lawrence,Des Lawrence,DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,
donteea-dye,Donteea Dye,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,1.0,,,,,1.0,
