player_id,player_name,positions,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
adam-drexler,Adam Drexler,P,2.0,1.0,0.0,2.0,0.0,2.0,0.0
alonzo-gee,Alonzo Gee,P,0.0,0.0,0.0,2.0,0.0,2.0,0.0
deshawn-stephens,Deshawn Stephens,P,6.0,0.0,0.0,0.0,0.0,6.0,1.0
dusan-bulut,Dusan Bulut,P,3.0,1.0,0.0,3.0,0.0,1.0,1.0
jannero-pargo,Jannero Pargo,P,6.0,5.0,0.0,0.0,0.0,2.0,0.0
jeremy-pargo,Jeremy Pargo,P,6.0,2.0,1.0,1.0,0.0,1.0,0.0
joe-johnson,Joe Johnson,P,4.0,1.0,0.0,4.0,0.0,7.0,2.0
karlis-lasmanis,Karlis Lasmanis,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ryan-hollins,Ryan Hollins,P,1.0,0.0,0.0,1.0,0.0,3.0,0.0
tomislav-ivosev,Tomislav Ivosev,P,2.0,0.0,0.0,0.0,1.0,5.0,1.0
