player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alize-mack,Alize Mack,TE,,,,,,,,,,,0.0,0.0,0.0,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,0.0,3.0,2.0,0.0,6.0,
brahmas-dst,Brahmas DST,DST,,,,1.0,,0.0,,,,19.0,,,,,,3.0
brahmas-qb,Brahmas QB,QB,,1.0,,,1.0,,1.0,3.0,287.0,,,,,0.0,20.0,
case-cookus,Case Cookus,QB,1.0,,,,0.0,,1.0,1.0,194.0,,,,,0.0,58.0,
chase-garbers,Chase Garbers,QB,,1.0,,,1.0,,1.0,3.0,287.0,,,,,0.0,20.0,
cody-latimer,Cody Latimer,TE,,,,,,,,,,,1.0,91.0,8.0,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,,1.0,58.0,6.0,,,
darius-victor,Darius Victor,RB,,,,,,,,,,,0.0,11.0,2.0,0.0,54.0,
john-lovett,John Lovett,RB,,1.0,,,,,,,,,0.0,-5.0,2.0,0.0,10.0,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,0.0,76.0,3.0,,,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,1.0,53.0,7.0,,,
justin-smith,Justin Smith,WR,,,,,,,,,,,0.0,23.0,3.0,,,
landen-akers,Landen Akers,WR,,,,,,,,,,,0.0,19.0,1.0,,,
lee-morris,Lee Morris,WR,,,,,,,,,,,0.0,0.0,0.0,,,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,,1.0,103.0,6.0,,,
matt-coghlin,Matt Coghlin,K,,,102.0,,,,,,,,,,,,,
showboats-k,SHOWBOATS K,K,,,102.0,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,1.0,,,,0.0,,1.0,1.0,194.0,,,,,0.0,58.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,0.0,32.0,4.0,,,
showboats-dst,Showboats DST,DST,,,,1.0,,1.0,,,,20.0,,,,,,2.0
titus-swen,Titus Swen,RB,,,,,,,,,,,0.0,5.0,1.0,0.0,5.0,
vinny-papale,Vinny Papale,WR,,,,,,,,,,,0.0,12.0,1.0,0.0,-5.0,
