player_id,player_name,positions,passing_tds,passing_yards,rushing_tds,rushing_yards
billings-qb,BILLINGS QB,QB,7.0,197.0,,3.0
jalen-morton,Jalen Morton,QB,6.0,272.0,1.0,14.0
malik-henry-2,Malik Henry,QB,7.0,197.0,,3.0
sw-kansas-qb,SW KANSAS QB,QB,6.0,272.0,1.0,14.0
