player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
ainna-hamizah-hashim,Ainna Hamizah Hashim,,,,,,,,24.0,0.0,0.0,10.0,2.0,1.0,1.0
christina-baret,Christina Baret,,11.0,0.0,1.0,4.0,6.0,0.0,6.0,0.0,1.0,15.0,0.0,2.0,1.0
gk-diviya,GK Diviya,,34.0,4.0,0.0,3.0,35.0,0.0,24.0,0.0,0.0,17.0,0.0,0.0,1.0
h-dhavina,H Dhavina,,4.0,0.0,0.0,8.0,2.0,0.0,24.0,0.0,1.0,29.0,0.0,0.0,1.0
j-intan,J Intan,,,,,,,,12.0,0.0,0.0,18.0,0.0,1.0,1.0
mas-elysa,Mas Elysa,,33.0,5.0,0.0,3.0,36.0,0.0,17.0,0.0,0.0,19.0,1.0,5.0,1.0
nik-nur-atiela,Nik Nur Atiela,,,,,,,,12.0,0.0,0.0,8.0,1.0,0.0,1.0
noor-hayati-zakaria,Noor Hayati Zakaria,,,,,,,,24.0,0.0,0.0,23.0,1.0,4.0,1.0
nur-arianna-natsya,Nur Arianna Natsya,,,,,,,,24.0,0.0,0.0,17.0,1.0,3.0,1.0
psr-gurusinghe,PSR Gurusinghe,,10.0,2.0,0.0,6.0,14.0,0.0,,,,,,,1.0
r-butler,R Butler,,14.0,1.0,0.0,4.0,14.0,1.0,,,,,,,1.0
rr-seth,RR Seth,,15.0,1.0,0.0,1.0,6.0,0.0,,,,,,,1.0
sk-sonpethkar,SK Sonpethkar,,5.0,0.0,0.0,10.0,0.0,0.0,24.0,0.0,3.0,32.0,0.0,2.0,1.0
shafia-hassan,Shafia Hassan,,9.0,0.0,0.0,9.0,5.0,0.0,24.0,0.0,3.0,27.0,1.0,4.0,1.0
shafina-mahesh,Shafina Mahesh,,16.0,1.0,0.0,2.0,9.0,0.0,,,,,,,1.0
smruthi-radhakrishnan,Smruthi Radhakrishnan,,1.0,0.0,0.0,5.0,1.0,0.0,24.0,0.0,0.0,32.0,0.0,1.0,1.0
vathana-sreemurugavel,Vathana Sreemurugavel,,12.0,0.0,1.0,7.0,5.0,0.0,,,,,,,1.0
wa-duraisingam,WA Duraisingam,,58.0,6.0,1.0,1.0,66.0,0.0,,,,,,,1.0
wan-julia,Wan Julia,,25.0,1.0,0.0,2.0,15.0,0.0,,,,,,,1.0
