player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DL/DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blace-brown,Blace Brown,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-muhammad,Brad Muhammad,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
branden-dozier,Branden Dozier,DB,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brayden-lenius,Brayden Lenius,WR,,,,,,,,,,,,21.0,3.0,4.0,,11.0,39.0,,,,,,,,,,,,,,,,,,,,,
brett-lauther,Brett LAUTHER,K,,,,,,,,,,,,,,,,,,70.0,3.0,2.0,42.0,,144.0,,,,,,,9.0,,,4.0,2.0,46.0,8.0,2.0,2.0
cameron-judge,Cameron Judge,LB,1.0,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charbel-dabire,Charbel Dabire,DL/DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,,15.0,,,,,,,,,,,
cody-grace,Cody Grace,K/P,,,,,,,,,,,,,,,,,,54.0,3.0,3.0,111.0,1.0,141.0,,,,,,,,,,,,,,,
darnell-sankey,Darnell Sankey,LB,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
demarcus-christmas,DeMarcus Christmas,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devontres-dukes,DeVontres Dukes,WR,,,,,,,,,,,,14.0,3.0,3.0,,6.0,36.0,,,,,,,,,,,,,,,,,,,,,
dedrick-mills,Dedrick MILLS,RB,,,,,,,,,,,,11.0,3.0,5.0,,22.0,22.0,,,,,,,17.0,19.0,1.0,103.0,,,6.0,1.0,1.0,,,,,,
derrick-moncrief,Derrick Moncrief,LB,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folarin-orimolade,Folarin Orimolade,DL/DB,1.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fraser-sopik,Fraser Sopik,LB,1.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-maier,Jake Maier,QB,,,,,24.0,15.0,47.0,,,1.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
jalen-philpot,Jalen PHILPOT,WR,,,,,,,,,,,,47.0,2.0,3.0,,17.0,64.0,31.0,2.0,,,,42.0,2.0,13.0,,12.0,,,,,,,,,,,
