player_id,player_name,positions,assists,blocks,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
becker-mathie,Becker Mathie,P,,,40.0,44.0,,,3.0,,,45.0,,51.0,170.0
brandon-matis,Brandon Matis,P,,1.0,,,,,,,,,,,
bret-bergmeier,Bret Bergmeier,P,1.0,,18.0,17.0,,,1.0,,,19.0,2.0,90.0,110.0
bryan-vohnoutka,Bryan Vohnoutka,P,1.0,,12.0,10.0,,2.0,1.0,3.0,,10.0,1.0,115.0,2.0
bryan-walsh,Bryan Walsh,P,4.0,1.0,27.0,33.0,,,1.0,1.0,,36.0,2.0,115.0,236.0
cameron-lacy,Cameron Lacy,P,,1.0,,,,,,,2.0,,,,
carson-chamberlain,Carson Chamberlain,P,2.0,,21.0,15.0,,5.0,2.0,,,16.0,1.0,260.0,53.0
colin-beauregard,Colin Beauregard,P,,1.0,1.0,1.0,,,,,,1.0,,9.0,-3.0
colin-berry,Colin Berry,P,1.0,,6.0,6.0,,2.0,,,,6.0,1.0,66.0,6.0
daniel-robinson,Daniel Robinson,P,,,16.0,13.0,,3.0,,,,13.0,,215.0,107.0
david-innis,David Innis,P,,,3.0,5.0,,,,,,6.0,,3.0,20.0
dylan-hall,Dylan Hall,P,,,1.0,1.0,,,,,9.0,1.0,,22.0,12.0
gordon-larson,Gordon Larson,P,1.0,,2.0,2.0,,,,1.0,,2.0,1.0,10.0,21.0
jack-havey,Jack Havey,P,2.0,,25.0,20.0,,3.0,,,,23.0,2.0,111.0,170.0
jake-kenniv,Jake Kenniv,P,1.0,1.0,24.0,22.0,,1.0,3.0,,,23.0,1.0,196.0,178.0
james-kittlesen,James Kittlesen,P,,1.0,3.0,3.0,,,1.0,,,3.0,,53.0,25.0
joe-simonelli,Joe Simonelli,P,,,3.0,3.0,,,,,,4.0,1.0,-5.0,26.0
joel-willison,Joel Willison,P,,,1.0,,,,,,,1.0,1.0,,
jordan-taylor,Jordan Taylor,P,1.0,1.0,15.0,13.0,,2.0,1.0,,,13.0,1.0,103.0,69.0
joseph-cubitt,Joseph Cubitt,P,1.0,,26.0,37.0,1.0,,6.0,1.0,,38.0,1.0,67.0,228.0
josh-klane,Josh Klane,P,3.0,,46.0,50.0,1.0,2.0,1.0,2.0,,52.0,2.0,49.0,282.0
malachi-neil,Malachi Neil,P,,1.0,1.0,1.0,,,,,,1.0,,10.0,6.0
marty-adams,Marty Adams,P,,,16.0,13.0,,2.0,3.0,,,16.0,,100.0,36.0
matt-gubernick,Matt Gubernick,P,,,2.0,1.0,,,,,,1.0,,9.0,11.0
michael-jordan,Michael Jordan,P,,,5.0,5.0,,,2.0,,,6.0,,95.0,46.0
michael-petersen,Michael Petersen,P,,1.0,,2.0,,,,,5.0,3.0,1.0,,30.0
michael-weber,Michael Weber,P,,,4.0,5.0,1.0,,,,,5.0,,6.0,6.0
mickey-walsh,Mickey Walsh,P,,,6.0,,,1.0,,,,6.0,1.0,6.0,
nathan-ploeger,Nathan Ploeger,P,,,,,,,,,6.0,,,,
nicholas-betsch,Nicholas Betsch,P,4.0,,23.0,19.0,1.0,2.0,2.0,1.0,,21.0,2.0,246.0,193.0
robbie-davenport,Robbie Davenport,P,,,5.0,6.0,,,,,,6.0,,-16.0,4.0
sam-berglund,Sam Berglund,P,,,10.0,16.0,,1.0,1.0,2.0,9.0,17.0,1.0,23.0,170.0
tanner-barcus,Tanner Barcus,P,1.0,2.0,10.0,10.0,,,,,,10.0,,85.0,33.0
terry-gaither,Terry Gaither,P,,1.0,,1.0,,,,,,1.0,,,
tristan-van-de-moortele,Tristan Van de Moortele,P,1.0,1.0,33.0,32.0,,1.0,,,,35.0,3.0,141.0,100.0
