player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alize-mack,Alize Mack,TE,,,,,,,5.0,1.0,,,,
brahmas-dst,Brahmas DST,DST,,1.0,,,,,,,,,2.0,
brahmas-qb,Brahmas QB,QB,3.0,,,1.0,139.0,,,,,26.0,,
brandon-arconado,Brandon Arconado,WR,,,,,,,40.0,3.0,,,,
bruce-hector,Bruce Hector,DT/DL,,,,,,,,,,,,1.0
bunmi-rotimi,Bunmi Rotimi,DT/DL/DB/OLB,,,,,,,,,,,,3.0
darnell-sankey,Darnell Sankey,LB,,,1.0,,,,,,,,,3.0
davonte-lambert,Davonte Lambert,DT/DL/DB,,,,,,,,,,,,1.0
devante-bausby,De\'Vante Bausby,CB/DB,,,,,,,,,,,,2.0
deveon-smith,De\'Veon Smith,RB,,,,,,,6.0,1.0,1.0,44.0,,
donald-payne,Donald Payne,LB/OLB,,,,,,,,,,,,7.0
drew-beesley,Drew Beesley,DE/DL,,,,,,,,,,,,2.0
fred-brown,Fred Brown,WR,,,,,,,31.0,4.0,,,,
isaiah-graham-mobley,Isaiah Graham-Mobley,LB,,,,,,,,,,,,5.0
javonta-payton,JaVonta Payton,WR,,,,,,,26.0,1.0,,,,
jack-coan,Jack Coan,QB,2.0,,,,42.0,,,,,16.0,,
jack-koerner,Jack Koerner,SS/DB,,,,,,,,,,,1.0,5.0
jacques-patrick,Jacques Patrick,RB,,,,,,,24.0,5.0,,26.0,,
joe-powell,Joe Powell,LB/DB/SAF,,1.0,1.0,,,,,,,,,
jon-hilliman,Jon Hilliman,RB,,,,,,,8.0,1.0,,,,
jordan-williams,Jordan Williams,WR/OT/LB/DL/DE/MLB,,,1.0,,,,,,,,,11.0
kalen-ballage,Kalen Ballage,RB,,,,,,,42.0,5.0,,2.0,,
kenneth-farrow,Kenneth Farrow,RB,,,,,,,,,,37.0,,
kyle-sloter,Kyle Sloter,QB,1.0,,,,148.0,,,,,17.0,,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,17.0,1.0,,,,
luq-barcoo,Luq Barcoo,CB/DB,,,,,,,,,,,,3.0
mike-tverdov,Mike Tverdov,DL,,,,,,,,,,,,2.0
rannell-hall,Rannell Hall,WR/CB,,,,,,,16.0,2.0,,21.0,,
ranthony-texada,Ranthony Texada,DB,,,,,,,,,,,1.0,2.0
reid-sinnett,Reid Sinnett,QB,1.0,,,1.0,97.0,,,,,10.0,,
renegades-dst,Renegades DST,DST,,3.0,,,,,,,,,2.0,
renegades-qb,Renegades QB,QB,1.0,,,,148.0,,,,,17.0,,
riko-jeffers,Riko Jeffers,LB,,,,,,,,,,,,9.0
ryan-lewis,Ryan Lewis,DB,,,,,,,,,,,,1.0
sal-cannella,Sal Cannella,TE,,,,,,,32.0,4.0,,,,
shakur-brown,Shakur Brown,CB/DB,,1.0,1.0,,,,,,,,,4.0
tj-barnes,T.J. Barnes,DT/DL/DB,,,,,,,,,,,1.0,1.0
tj-vasher,T.J. Vasher,WR,,,,,,1.0,19.0,2.0,,,,
tenny-adewusi,Tenny Adewusi,DB,,1.0,,,,,,,,,,5.0
terrell-bonds,Terrell Bonds,CB/DB,,,1.0,,,,,,,,,1.0
tyler-vaughns,Tyler Vaughns,WR,,,,,,,7.0,1.0,,,,
will-clarke,Will Clarke,DT/DL/DB/OLB,,,,,,,,,,,,1.0
will-hill,Will Hill,DB,,,,,,,,,,,,7.0
willie-taylor,Willie Taylor,LB,,,,,,,,,,,1.0,3.0
