player_id,player_name,positions,assisted_tackles,fg_attempts,field_goal_long,field_goals_made,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-brown,A.J. Brown,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
aaron-dilworth,Aaron Dilworth,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,6.0,5.0,1.0,8.0,,,,,,,,
albert-curran-iv,Albert Curran IV,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,,,,
andre-thomas-cobb,Andre Thomas-Cobb,WR,,,,,,,,,,,,,,,,,,,,,,,13.8,33.0,2.0,83.0,6.0,4.0,4.0,1.0,0.0,4.0,,,,,,,,
brian-robinson,Brian Robinson,RB/WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
bryce-holliday,Bryce Holliday,QB,,,,,0.0,,,,,,,,,,,,17.0,13.0,,33.0,3.0,137.0,,,,,,2.8,9.0,11.0,0.0,31.0,,,,,,,,
darius-meadors,Darius Meadors,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
deandre-brown,Deandre Brown,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
demarius-washington,Demarius Washington,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
dominique-shoffner,Dominique Shoffner,QB,0.0,,,,,,,,,,,,,,,,,,,,,,12.8,28.0,1.0,64.0,5.0,,,,,,,,1.0,1.0,,,,
dreko-statham,Dreko Statham,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,0.0,,
frankie-solomon-jr,Frankie Solomon Jr,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
greg-thomas-jr,Greg Thomas Jr,DB,,,,,,,,,,,,,,,,,,,,,,,10.4,26.0,1.0,52.0,5.0,,,,,,,,,,,,,
jaden-sutton,Jaden Sutton,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
jamarii-milliken,Jamarii Milliken,DB/LB,,,,,0.0,,,,,,,,,,,,32.0,21.0,,28.0,3.0,189.0,,,,,,4.0,11.0,6.0,1.0,24.0,,,,,,,,
jerron-mcgaw,Jerron McGaw,RB/WR,,,,,,1.0,,,,,,,8.0,8.0,0.0,8.0,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,,,,,,,,
jo-el-shaw,Jo-El Shaw,RB,,,,,,,,,,,,,,,,,,,,,,,6.7,8.0,1.0,20.0,3.0,0.8,3.0,5.0,0.0,4.0,,,,,,,,
john-westor,John Westor,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
kendrick-washington,Kendrick Washington,DL/OL/DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
kenttwon-brown,Kenttwon Brown,WR,,,,,,,,,,,,,,,,,,,,,,,11.5,12.0,0.0,23.0,2.0,,,,,,,,,,,,,
lagrant-pegram-jr,LaGrant Pegram Jr.,DB,2.0,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,6.0,1.0,,,,,,6.0,2.0,3.0,5.0,2.0,0.0,,
marcus-gray,MARCUS GRAY,G,,3.0,0.0,0.0,,,3.0,50.0,0.0,0.0,300.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0
marco-lee,Marco Lee,RB,,3.0,10.0,1.0,,,6.0,49.7,0.0,0.0,348.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0
marcus-brooks,Marcus Brooks,QB,,,,,,,,,,,,,,,,,,,,,,,7.0,12.0,0.0,35.0,5.0,17.0,17.0,1.0,0.0,17.0,,,,,,,,
mykell-yancie,Mykell Yancie,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
patrick-mcsweeney,Patrick Mcsweeney,WR,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,9.0,9.0,,,,
prince-shonola,Prince Shonola,WR,,,,,,1.0,,,,,,,4.0,4.0,0.0,4.0,,,,,,,3.5,4.0,1.0,7.0,2.0,1.8,18.0,11.0,1.0,20.0,,,,,,,,
raneiria-dillworth,Raneiria Dillworth,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,1.0,0.0,,
rodell-rahmaan,Rodell Rahmaan,TE/WR,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,0.0,24.0,3.0,,,,,,,,,,,,,
ron-brown-jr,Ron Brown Jr.,RB,,,,,,3.0,,,,,,,27.3,50.0,1.0,82.0,,,,,,,3.0,3.0,0.0,3.0,1.0,4.5,9.0,4.0,0.0,18.0,,,,,,,,
steven-newbold-jr,"Steven Newbold, Jr.",,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,4.0,,,,
terrence-jackson,Terrence Jackson,DB,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,8.0,,,,
tremell-gooden,Tremell Gooden,WR,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
verlon-reed,Verlon Reed,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
zach-hannibel,Zach Hannibel,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,6.0,,,,
zack-brown,Zack Brown,DL/LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
