player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
chaya-mughal,Chaya Mughal,,,,,,,,18.0,1.0,0.0,9.0,0.0,2.0,,1.0
d-bhaskara,D Bhaskara,,12.0,0.0,0.0,3.0,2.0,0.0,12.0,0.0,0.0,28.0,0.0,1.0,,1.0
er-oza,ER Oza,,71.0,22.0,1.0,1.0,158.0,6.0,,,,,,,,1.0
g-fernando,G Fernando,,16.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,12.0,0.0,0.0,,1.0
hmd-rasangika,HMD Rasangika,,,,,,,,6.0,0.0,0.0,5.0,0.0,0.0,,1.0
kkn-egodage,KKN Egodage,,45.0,10.0,0.0,2.0,67.0,0.0,,,,,,,1.0,1.0
khushi-sharma,Khushi Sharma,,,,,,,,12.0,0.0,0.0,2.0,2.0,0.0,,1.0
l-keny,L Keny,,,,,,,,18.0,0.0,0.0,3.0,4.0,0.0,,1.0
m-gaur,M Gaur,,,,,,,,18.0,0.0,0.0,13.0,1.0,2.0,,1.0
p-shetty,P Shetty,,1.0,0.0,0.0,6.0,0.0,0.0,24.0,0.0,0.0,53.0,0.0,6.0,1.0,1.0
prajna-jagdeesha,Prajna Jagdeesha,,5.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,15.0,0.0,0.0,,1.0
r-hathadurage,R Hathadurage,,9.0,0.0,0.0,2.0,1.0,0.0,,,,,,,1.0,1.0
s-dharnidharka,S Dharnidharka,,,,,,,,12.0,0.0,2.0,4.0,0.0,0.0,,1.0
s-jayasinghe,S Jayasinghe,,1.0,0.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,40.0,0.0,1.0,,1.0
s-kotte,S Kotte,,,,,,,,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
s-prakash,S Prakash,,8.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,1.0
ti-gajanayake,TI Gajanayake,,45.0,3.0,1.0,1.0,25.0,0.0,24.0,0.0,0.0,62.0,0.0,0.0,,1.0
theertha-satish,Theertha Satish,,4.0,0.0,1.0,3.0,4.0,0.0,,,,,,,2.0,1.0
v-barboza,V Barboza,,1.0,0.0,0.0,7.0,0.0,0.0,18.0,0.0,0.0,38.0,0.0,5.0,,1.0
vaishnave-mahesh,Vaishnave Mahesh,,,,,,,,12.0,0.0,0.0,4.0,0.0,1.0,,1.0
