player_id,player_name,positions,2_pointer,3_pointer,4_pointer,assist,blockedShot,rebound,steal
adam-drexler,Adam Drexler,P,0.0,0.0,0.0,1.0,0.0,4.0,0.0
corey-brewer,Corey Brewer,P,6.0,0.0,0.0,1.0,0.0,5.0,0.0
deshawn-stephens,Deshawn Stephens,P,8.0,1.0,0.0,1.0,0.0,12.0,0.0
dusan-bulut,Dusan Bulut,P,4.0,2.0,0.0,6.0,0.0,5.0,1.0
garlon-green,Garlon Green,P,0.0,0.0,0.0,0.0,0.0,5.0,2.0
gerald-green,Gerald Green,P,5.0,2.0,0.0,0.0,0.0,5.0,0.0
jeff-ayres,Jeff Ayres,P,3.0,0.0,0.0,0.0,0.0,10.0,0.0
karlis-lasmanis,Karlis Lasmanis,P,5.0,2.0,0.0,3.0,0.0,4.0,1.0
tomislav-ivosev,Tomislav Ivosev,P,3.0,0.0,0.0,1.0,0.0,9.0,1.0
will-bynum,Will Bynum,P,0.0,0.0,0.0,0.0,0.0,2.0,1.0
