player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
a-fillie,A Fillie,,,,,,,,24.0,2.0,0.0,7.0,0.0,1.0,1.0,1.0
am-kamara,AM Kamara,,,,,,,,24.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0
aminata-kamara,Aminata Kamara,,,,,,,,24.0,1.0,0.0,5.0,1.0,0.0,,1.0
c-bull,C Bull,,,,,,,,24.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0
emma-kamara,Emma Kamara,,11.0,1.0,1.0,1.0,12.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
f-conteh,F Conteh,,12.0,0.0,1.0,2.0,8.0,0.0,,,,,,,,1.0
l-bull,L Bull,,,,,,,,12.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
lm-gwebu,LM Gwebu,,3.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,1.0
ln-shabalala,LN Shabalala,,18.0,0.0,1.0,5.0,2.0,0.0,,,,,,,,1.0
m-dlamini,M Dlamini,,34.0,0.0,0.0,2.0,7.0,0.0,12.0,0.0,0.0,12.0,0.0,1.0,,1.0
n-gwebu,N Gwebu,,6.0,0.0,0.0,6.0,4.0,0.0,,,,,,,,1.0
n-mabila,N Mabila,,13.0,0.0,0.0,4.0,2.0,0.0,,,,,,,,1.0
ntombizodwa-mkhatshwa,Ntombizodwa Mkhatshwa,,41.0,0.0,0.0,1.0,8.0,0.0,,,,,,,,1.0
t-dlamini,T Dlamini,,5.0,0.0,0.0,7.0,0.0,0.0,,,,,,,,1.0
t-malinga,T Malinga,,,,,,,,10.0,0.0,1.0,16.0,0.0,5.0,,1.0
